"x";"y";"date";"dx";"dy";"dist";"dt";"R2n";"abs.angle";"rel.angle";"id";"burst";"POSIXct";"behavior";"point";"TREEF";"sp";"zone";"band"
781969.8024;7407899.62;2019-05-16 07:25:13;-7.29620000009891;-4.9320000000298;8.80676776358598;300;0;-2.54717806457831;NA;"Guareí";"2019-05-16";2019-05-16 07:25:13;"NA";"DG03";"tree";NA;"22S";"K"
781962.5062;7407894.688;2019-05-16 07:30:13;-37.1217999999644;30.0580000001937;47.7651693103772;300;77.5591584417373;2.46095721350112;-1.27505002910016;"Guareí";"2019-05-16";2019-05-16 07:30:13;"travel";NA;NA;NA;"22S";"K"
781925.3844;7407924.746;2019-05-16 07:35:13;-27.2552999999607;-2.25600000005215;27.3485084435713;300;2604.27460001386;-3.05900802379976;0.763220069878711;"Guareí";"2019-05-16";2019-05-16 07:35:13;"feed_fruits";"AG153";"tree";"Celtis iguanaea";"22S";"K"
781898.1291;7407922.49;2019-05-16 07:40:13;0;0;0;300;5660.09883289856;NA;NA;"Guareí";"2019-05-16";2019-05-16 07:40:13;"feed_fruits";"AG154";"tree";"Celtis iguanaea";"22S";"K"
781898.1291;7407922.49;2019-05-16 07:45:13;-0.940599999972619;-22.2599999997765;22.2798637417287;300;5660.09883289856;-1.61302637106581;1.44598165273395;"Guareí";"2019-05-16";2019-05-16 07:45:13;"feed_fruits";"AG154";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 07:50:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 07:50:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 07:55:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 07:55:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 08:00:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:00:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 08:05:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:05:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 08:10:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:10:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 08:15:13;0;0;0;300;5273.15057320992;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:15:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781897.1885;7407900.23;2019-05-16 08:20:13;-11.7295000000158;17.4119999995455;20.9942590780086;300;5273.15057320992;2.16361427063808;-2.5065446654757;"Guareí";"2019-05-16";2019-05-16 08:20:13;"feed_fruits";"AG65";"tree";"Celtis iguanaea";"22S";"K"
781885.459;7407917.642;2019-05-16 08:25:13;0;0;0;300;7438.60160755781;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:25:13;"feed_fruits";"AG155";"tree";"Celtis iguanaea";"22S";"K"
781885.459;7407917.642;2019-05-16 08:30:13;0;0;0;300;7438.60160755781;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:30:13;"feed_fruits";"AG155";"tree";"Celtis iguanaea";"22S";"K"
781885.459;7407917.642;2019-05-16 08:35:13;0;0;0;300;7438.60160755781;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:35:13;"feed_fruits";"AG155";"tree";"Celtis iguanaea";"22S";"K"
781885.459;7407917.642;2019-05-16 08:40:13;-8.57770000002347;-5.59599999990314;10.2416870333612;300;7438.60160755781;-2.56353959322196;1.55603144331955;"Guareí";"2019-05-16";2019-05-16 08:40:13;"feed_fruits";"AG155";"tree";"Celtis iguanaea";"22S";"K"
781876.8813;7407912.046;2019-05-16 08:45:13;6.08929999999236;-11.980000000447;13.4387489931399;300;8788.73630121613;-1.10053967505619;1.46299991816577;"Guareí";"2019-05-16";2019-05-16 08:45:13;"travel";NA;NA;NA;"22S";"K"
781882.9706;7407900.066;2019-05-16 08:50:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:50:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 08:55:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 08:55:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:00:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:00:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:05:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:05:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:10:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:10:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:15:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:15:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:20:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:20:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:25:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:25:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:30:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:30:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:35:13;0;0;0;300;7539.96040724715;NA;NA;"Guareí";"2019-05-16";2019-05-16 09:35:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781882.9706;7407900.066;2019-05-16 09:40:13;-6.74250000005122;1.59700000006706;6.92904865410144;300;7539.96040724715;2.90902277698332;-2.27362285514008;"Guareí";"2019-05-16";2019-05-16 09:40:13;"feed_fruits";"AG156";"tree";"Celtis iguanaea";"22S";"K"
781876.2281;7407901.663;2019-05-16 09:45:13;-3.74599999992643;-1.31300000008196;3.96944391567182;300;8760.3234695061;-2.80446605025603;0.569696479940241;"Guareí";"2019-05-16";2019-05-16 09:45:13;"idle";NA;NA;NA;"22S";"K"
781872.4821;7407900.35;2019-05-16 09:50:13;-21.6999000000069;-17.0489999996498;27.5962689688001;300;9471.77369209343;-2.47564967108101;0.328816379175018;"Guareí";"2019-05-16";2019-05-16 09:50:13;"travel";NA;NA;NA;"22S";"K"
781850.7822;7407883.301;2019-05-16 09:55:13;8.26289999997243;20.9479999998584;22.5187526387146;300;14432.1177690511;1.19508516435008;-2.6124504717485;"Guareí";"2019-05-16";2019-05-16 09:55:13;"feed_fruits";NA;NA;NA;"22S";"K"
781859.0451;7407904.249;2019-05-16 10:00:13;-10.6001999999862;-8.68699999991804;13.7050431972425;300;12288.6071442998;-2.45506636774177;2.63303377508773;"Guareí";"2019-05-16";2019-05-16 10:00:13;"for";NA;NA;NA;"22S";"K"
781848.4449;7407895.562;2019-05-16 10:05:13;18.7227000000421;1.70399999991059;18.8000827469262;300;14744.1101702617;0.0907624618184846;2.54582882956026;"Guareí";"2019-05-16";2019-05-16 10:05:13;"travel";NA;NA;NA;"22S";"K"
781867.1676;7407897.266;2019-05-16 10:10:13;0;0;0;300;10539.4434870413;NA;NA;"Guareí";"2019-05-16";2019-05-16 10:10:13;"feed_fruits";"AG125";"tree";"Celtis iguanaea";"22S";"K"
781867.1676;7407897.266;2019-05-16 10:15:13;0;0;0;300;10539.4434870413;NA;NA;"Guareí";"2019-05-16";2019-05-16 10:15:13;"feed_fruits";"AG125";"tree";"Celtis iguanaea";"22S";"K"
781867.1676;7407897.266;2019-05-16 10:20:13;-5.8752000000095;-5.9449999993667;8.35828930060343;300;10539.4434870413;-2.3502894134549;-2.44105187527339;"Guareí";"2019-05-16";2019-05-16 10:20:13;"feed_fruits";"AG125";"tree";"Celtis iguanaea";"22S";"K"
781861.2924;7407891.321;2019-05-16 10:25:13;1.62209999992047;9.04499999992549;9.18929994114863;300;11843.2935009962;1.39334599468747;-2.53954989903722;"Guareí";"2019-05-16";2019-05-16 10:25:13;"travel";NA;NA;NA;"22S";"K"
781862.9145;7407900.366;2019-05-16 10:30:13;7.07720000005793;15.8899999996647;17.3947940439134;300;11425.5796824294;1.15178516019576;-0.241560834491706;"Guareí";"2019-05-16";2019-05-16 10:30:13;"travel";NA;NA;NA;"22S";"K"
781869.9917;7407916.256;2019-05-16 10:35:13;-6.45610000006855;4.90799999982119;8.10985149118835;300;10238.9323304942;2.49158829728037;1.33980313708461;"Guareí";"2019-05-16";2019-05-16 10:35:13;"travel";NA;NA;NA;"22S";"K"
781863.5356;7407921.164;2019-05-16 10:40:13;2.19090000004508;7.4089999999851;7.72614546911827;300;11756.7767182509;1.28328185450636;-1.20830644277401;"Guareí";"2019-05-16";2019-05-16 10:40:13;"feed_fruits";"AG77";"tree";"Celtis iguanaea";"22S";"K"
781865.7265;7407928.573;2019-05-16 10:45:13;1.71959999995306;18.6210000002757;18.700231687605;300;11670.0691698067;1.4787101556742;0.195428301167841;"Guareí";"2019-05-16";2019-05-16 10:45:13;"travel";NA;NA;NA;"22S";"K"
781867.4461;7407947.194;2019-05-16 10:50:13;12.6832000000868;31.0559999998659;33.5460682976988;300;12740.0976257129;1.18307155312322;-0.295638602550979;"Guareí";"2019-05-16";2019-05-16 10:50:13;"travel";NA;NA;NA;"22S";"K"
781880.1293;7407978.25;2019-05-16 10:55:13;3.85340000002179;17.2240000003949;17.6497837826352;300;14223.941763595;1.35069795713412;0.167626404010897;"Guareí";"2019-05-16";2019-05-16 10:55:13;"travel";NA;NA;NA;"22S";"K"
781883.9827;7407995.474;2019-05-16 11:00:13;0;0;0;300;16553.010224143;NA;NA;"Guareí";"2019-05-16";2019-05-16 11:00:13;"feed_fruits";"AG157";"tree";"Celtis iguanaea";"22S";"K"
781883.9827;7407995.474;2019-05-16 11:05:13;0;0;0;300;16553.010224143;NA;NA;"Guareí";"2019-05-16";2019-05-16 11:05:13;"feed_fruits";"AG157";"tree";"Celtis iguanaea";"22S";"K"
781883.9827;7407995.474;2019-05-16 11:10:13;0;0;0;300;16553.010224143;NA;NA;"Guareí";"2019-05-16";2019-05-16 11:10:13;"feed_fruits";"AG157";"tree";"Celtis iguanaea";"22S";"K"
781883.9827;7407995.474;2019-05-16 11:15:13;0;0;0;300;16553.010224143;NA;NA;"Guareí";"2019-05-16";2019-05-16 11:15:13;"feed_fruits";"AG157";"tree";"Celtis iguanaea";"22S";"K"
781883.9827;7407995.474;2019-05-16 11:20:13;15.0308999998961;11.2779999999329;18.7915203963214;300;16553.010224143;0.643706520593631;-0.706991436540484;"Guareí";"2019-05-16";2019-05-16 11:20:13;"feed_fruits";"AG157";"tree";"Celtis iguanaea";"22S";"K"
781899.0136;7408006.752;2019-05-16 11:25:13;-11.5983999999007;3.65999999921769;12.1621742526561;300;16488.3196295;2.83592176343669;2.19221524284306;"Guareí";"2019-05-16";2019-05-16 11:25:13;"travel";NA;NA;NA;"22S";"K"
781887.4152;7408010.412;2019-05-16 11:30:13;-6.9605000000447;9.91500000003725;12.1142802201105;300;19062.5179877141;2.18287479774027;-0.653046965696412;"Guareí";"2019-05-16";2019-05-16 11:30:13;"outofsight";NA;NA;NA;"22S";"K"
781880.4547;7408020.327;2019-05-16 11:35:13;-3.89159999997355;6.30800000019372;7.41184285871186;300;22553.1913441698;2.12357207590878;-0.0593027218314943;"Guareí";"2019-05-16";2019-05-16 11:35:13;"for";NA;NA;NA;"22S";"K"
