"group","id_month","timesteps","ndays","mean_timesteps","id_day_all","x","y","datetime","behavior","species","id_tree","date","time","count","count_rest"
"Guareí","Aug",867,8,108,"aug001",781766.996795743,7407701.99983181,2019-08-11 08:25:00,"Inactive",NA,NA,2019-08-11,08:25:00,867,101
"Guareí","Aug",867,8,108,"aug001",781748.996796185,7407832.9998318,2019-08-11 09:30:00,"Inactive",NA,NA,2019-08-11,09:30:00,867,101
"Guareí","Aug",867,8,108,"aug001",781820.815850813,7408003.22329828,2019-08-11 11:15:00,"Inactive","Cariniana estrelensis","AG310",2019-08-11,11:15:00,867,101
"Guareí","Aug",867,8,108,"aug001",781756.996796497,7408117.99983184,2019-08-11 12:50:00,"Inactive",NA,NA,2019-08-11,12:50:00,867,101
"Guareí","Aug",867,8,108,"aug001",781733.996796854,7408145.9998318,2019-08-11 13:15:00,"Inactive",NA,NA,2019-08-11,13:15:00,867,101
"Guareí","Aug",867,8,108,"aug001",781733.996796854,7408145.9998318,2019-08-11 13:20:00,"Inactive",NA,NA,2019-08-11,13:20:00,867,101
"Guareí","Aug",867,8,108,"aug001",781697,7408200,2019-08-11 14:05:00,"Inactive","Myrocarpus frondosus","RG03",2019-08-11,14:05:00,867,101
"Guareí","Aug",867,8,108,"aug001",781697,7408200,2019-08-11 14:30:00,"Inactive","Pereskia aculeata","RG03",2019-08-11,14:30:00,867,101
"Guareí","Aug",867,8,108,"aug001",781697,7408200,2019-08-11 14:35:00,"Inactive","Pereskia aculeata","RG03",2019-08-11,14:35:00,867,101
"Guareí","Aug",867,8,108,"aug001",781697,7408200,2019-08-11 14:45:00,"Inactive","Pereskia aculeata","RG03",2019-08-11,14:45:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 14:50:00,"Inactive",NA,NA,2019-08-11,14:50:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 14:55:00,"Inactive",NA,NA,2019-08-11,14:55:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:00:00,"Inactive",NA,NA,2019-08-11,15:00:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:15:00,"Resting",NA,NA,2019-08-11,15:15:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:20:00,"Resting",NA,NA,2019-08-11,15:20:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:25:00,"Inactive",NA,NA,2019-08-11,15:25:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:30:00,"Resting",NA,NA,2019-08-11,15:30:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:40:00,"Inactive",NA,NA,2019-08-11,15:40:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:45:00,"Inactive",NA,NA,2019-08-11,15:45:00,867,101
"Guareí","Aug",867,8,108,"aug001",781685.996797619,7408217.99983173,2019-08-11 15:50:00,"Inactive",NA,NA,2019-08-11,15:50:00,867,101
"Guareí","Aug",867,8,108,"aug002",781879.217717995,7408115.59251964,2019-08-12 07:10:00,"Inactive",NA,"DG23",2019-08-12,07:10:00,867,101
"Guareí","Aug",867,8,108,"aug002",781903.996794471,7408109.99983208,2019-08-12 07:15:00,"Inactive",NA,NA,2019-08-12,07:15:00,867,101
"Guareí","Aug",867,8,108,"aug002",782052.157422178,7407809.59214354,2019-08-12 08:40:00,"Inactive","Pereskia aculeata","AG314",2019-08-12,08:40:00,867,101
"Guareí","Aug",867,8,108,"aug002",781910.996793733,7407677.99983205,2019-08-12 10:15:00,"Inactive",NA,NA,2019-08-12,10:15:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 10:50:00,"Resting",NA,NA,2019-08-12,10:50:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 10:55:00,"Resting",NA,NA,2019-08-12,10:55:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:00:00,"Resting",NA,NA,2019-08-12,11:00:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:05:00,"Resting",NA,NA,2019-08-12,11:05:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:10:00,"Resting",NA,NA,2019-08-12,11:10:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:15:00,"Resting",NA,NA,2019-08-12,11:15:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:20:00,"Resting",NA,NA,2019-08-12,11:20:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:25:00,"Resting",NA,NA,2019-08-12,11:25:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:30:00,"Resting",NA,NA,2019-08-12,11:30:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:35:00,"Resting",NA,NA,2019-08-12,11:35:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:40:00,"Resting",NA,NA,2019-08-12,11:40:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:45:00,"Resting",NA,NA,2019-08-12,11:45:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:50:00,"Resting",NA,NA,2019-08-12,11:50:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 11:55:00,"Resting",NA,NA,2019-08-12,11:55:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 12:00:00,"Resting",NA,NA,2019-08-12,12:00:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 12:05:00,"Resting",NA,NA,2019-08-12,12:05:00,867,101
"Guareí","Aug",867,8,108,"aug002",781882.996794025,7407615.99983199,2019-08-12 12:15:00,"Inactive",NA,NA,2019-08-12,12:15:00,867,101
"Guareí","Aug",867,8,108,"aug002",781875.996794112,7407610.99983198,2019-08-12 12:30:00,"Inactive",NA,NA,2019-08-12,12:30:00,867,101
"Guareí","Aug",867,8,108,"aug002",781875.996794112,7407610.99983198,2019-08-12 12:35:00,"Inactive",NA,NA,2019-08-12,12:35:00,867,101
"Guareí","Aug",867,8,108,"aug002",781857.755779924,7407549.8680113,2019-08-12 13:05:00,"Inactive","Syagrus romanzoffiana","AG79",2019-08-12,13:05:00,867,101
"Guareí","Aug",867,8,108,"aug002",781842.688750496,7407553.69599616,2019-08-12 13:10:00,"Inactive","Pereskia aculeata","AG318",2019-08-12,13:10:00,867,101
"Guareí","Aug",867,8,108,"aug002",781842.688750496,7407553.69599616,2019-08-12 13:20:00,"Inactive","Pereskia aculeata","AG318",2019-08-12,13:20:00,867,101
"Guareí","Aug",867,8,108,"aug002",781947.996792979,7407511.99983209,2019-08-12 14:15:00,"Inactive",NA,NA,2019-08-12,14:15:00,867,101
"Guareí","Aug",867,8,108,"aug002",782031.996791774,7407475.99983223,2019-08-12 16:00:00,"Inactive",NA,NA,2019-08-12,16:00:00,867,101
"Guareí","Aug",867,8,108,"aug003",782100.996790942,7407551.99983235,2019-08-13 07:30:00,"Inactive",NA,NA,2019-08-13,07:30:00,867,101
"Guareí","Aug",867,8,108,"aug003",781998.929437006,7407577.97015452,2019-08-13 08:30:00,"Inactive","Pereskia aculeata","AG323",2019-08-13,08:30:00,867,101
"Guareí","Aug",867,8,108,"aug003",781998.929437006,7407577.97015452,2019-08-13 08:35:00,"Inactive","Pereskia aculeata","AG323",2019-08-13,08:35:00,867,101
"Guareí","Aug",867,8,108,"aug003",781998.929437006,7407577.97015452,2019-08-13 08:40:00,"Inactive","Pereskia aculeata","AG323",2019-08-13,08:40:00,867,101
"Guareí","Aug",867,8,108,"aug003",781985.996792494,7407535.99983216,2019-08-13 10:15:00,"Inactive",NA,NA,2019-08-13,10:15:00,867,101
"Guareí","Aug",867,8,108,"aug003",781985.996792494,7407535.99983216,2019-08-13 10:20:00,"Inactive",NA,NA,2019-08-13,10:20:00,867,101
"Guareí","Aug",867,8,108,"aug003",782040.996791603,7407442.99983224,2019-08-13 10:35:00,"Inactive",NA,NA,2019-08-13,10:35:00,867,101
"Guareí","Aug",867,8,108,"aug004",782024.121889445,7407526.28072634,2019-08-14 07:40:00,"Inactive",NA,"DG24",2019-08-14,07:40:00,867,101
