"disp_event","species","feed_datetime","feed_x","feed_y","id_feedtree","def_datetime","def_x","def_y","id_feces","n_seeds","SDD","gut_transit_time","gut_transit_time_h","month_id","group"
"SDA1","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 07:14:00,781894.405185706,7407642.48480937,"FGA1",5,276.844509788217,1020,17,"Apr","Guareí"
"SDA2","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:24:00,781927.369882474,7407424.94936604,"FGA2",1,496.690702248426,1090,18,"Apr","Guareí"
"SDA3","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:40:00,781940.89027332,7407383.34965821,"FGA3",1,539.68630379197,1106,18,"Apr","Guareí"
"SDA4","Cordia ecalyculata",2019-04-11 07:41:00,781879.409381217,7407543.02522444,"AG62",2019-04-11 08:40:00,781940.89027332,7407383.34965821,"FGA3",2,171.106670823203,59,0,"Apr","Guareí"
"SDA5","Diospyros inconstans",2019-04-11 10:19:00,782202.620636674,7407479.08508806,"AG81",2019-04-11 11:29:00,782212.139089998,7407522.12933442,"FGA6",3,44.0802903802092,70,1,"Apr","Guareí"
"SDA6","Diospyros inconstans",2019-04-11 11:45:00,782061.387304749,7407522.57533922,"AG82",2019-04-11 12:58:00,781971.855957307,7407755.71514748,"FGA7",3,249.739625409843,73,1,"Apr","Guareí"
"SDA7","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:42:00,781891.899604103,7407928.48976434,"FGA8",3,28.7508556392071,87,1,"Apr","Guareí"
"SDA8","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:48:00,781893.521597567,7407927.67834575,"FGA9",2,27.6942484996172,93,1,"Apr","Guareí"
"SDA9","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:34:00,781903.752078027,7407895.5618651,"FGA11",3,8.05248408931901,139,2,"Apr","Guareí"
"SDA10","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:28:00,781889.564954973,7407918.55672624,"FGA10",5,19.8546165907802,133,2,"Apr","Guareí"
