"disp_event","species","feed_datetime","feed_x","feed_y","id_feedtree","def_datetime","def_x","def_y","SDD","gut_transit_time"
"SDA1","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 07:14:00,781894.405185706,7407642.48480937,276.844509788217,17
"SDA2","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:24:00,781927.369882474,7407424.94936604,496.690702248426,18
"SDA3","Celtis iguanaea",2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:40:00,781940.89027332,7407383.34965821,539.68630379197,18
"SDA4","Cordia ecalyculata",2019-04-11 07:41:00,781879.409381217,7407543.02522444,"AG62",2019-04-11 08:40:00,781940.89027332,7407383.34965821,171.106670823203,0
"SDA5","Diospyros inconstans",2019-04-11 10:19:00,782202.620636674,7407479.08508806,"AG81",2019-04-11 11:29:00,782212.139089998,7407522.12933442,44.0802903802092,1
"SDA6","Diospyros inconstans",2019-04-11 11:45:00,782061.387304749,7407522.57533922,"AG82",2019-04-11 12:58:00,781971.855957307,7407755.71514748,249.739625409843,1
"SDA7","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:42:00,781891.899604103,7407928.48976434,28.7508556392071,1
"SDA8","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:48:00,781893.521597567,7407927.67834575,27.6942484996172,1
"SDA9","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:34:00,781903.752078027,7407895.5618651,8.05248408931901,2
"SDA10","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:28:00,781889.564954973,7407918.55672624,19.8546165907802,2
"SDA11","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00,781905.346248188,7407658.23560838,242.127540152104,17
"SDA12","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00,781905.346248188,7407658.23560838,242.127540152104,17
"SDA13","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00,781905.346248188,7407658.23560838,242.127540152104,17
"SDA14","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 07:34:00,781714.976364218,7407657.33695563,303.638001904037,18
"SDA15","Celtis iguanaea",2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 08:26:00,781637.082812314,7407729.20860018,311.295763704163,19
"SDA16","Annona emarginata",2019-04-11 15:47:00,781907.833815352,7407793.5161357,"AG86",2019-04-12 08:41:00,781633.291519676,7407744.79547686,278.829428145472,16
