disp_event;species;feed_datetime;feed_x;feed_y;id_feedtree;def_datetime;def_x;def_y;id_feces;n_seeds;SDD;gut_transit_time;gut_transit_time_hms;id_month;group;GTT
SDApr1;Celtis iguanaea;10/04/2019 14:14;781867.2557;7407917.99;AG75Y;11/04/2019 07:14;781894.4052;7407642.485;FGA1;5;276.8445098;1020;17:00:00;Apr;Guareí;17:00:00
SDApr2;Celtis iguanaea;10/04/2019 14:14;781867.2557;7407917.99;AG75Y;11/04/2019 08:24;781927.3699;7407424.949;FGA2;1;496.6907022;1090;18:10:00;Apr;Guareí;18:10:00
SDApr3;Celtis iguanaea;10/04/2019 14:14;781867.2557;7407917.99;AG75Y;11/04/2019 08:40;781940.8903;7407383.35;FGA3;2;539.6863038;1106;18:26:00;Apr;Guareí;18:26:00
SDApr4;Cordia ecalyculata;11/04/2019 07:41;781879.4094;7407543.025;AG62;11/04/2019 08:40;781940.8903;7407383.35;FGA3;1;171.1066708;59;00:59:00;Apr;Guareí;00:59:00
SDApr5;Diospyros inconstans;11/04/2019 10:19;782202.6206;7407479.085;AG81;11/04/2019 11:29;782212.1391;7407522.129;FGA6;3;44.08029038;70;01:10:00;Apr;Guareí;01:10:00
SDApr6;Diospyros inconstans;11/04/2019 11:45;782061.3873;7407522.575;AG82;11/04/2019 12:58;781971.856;7407755.715;FGA7;3;249.7396254;73;01:13:00;Apr;Guareí;01:13:00
SDApr7;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;11/04/2019 14:42;781891.8996;7407928.49;FGA8;3;28.75085564;87;01:27:00;Apr;Guareí;01:27:00
SDApr8;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;11/04/2019 14:48;781893.5216;7407927.678;FGA9;2;27.6942485;93;01:33:00;Apr;Guareí;01:33:00
SDApr9;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;11/04/2019 15:34;781903.7521;7407895.562;FGA11;3;8.052484089;139;02:19:00;Apr;Guareí;02:19:00
SDApr10;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;11/04/2019 15:28;781889.565;7407918.557;FGA10;5;19.85461659;133;02:13:00;Apr;Guareí;02:13:00
SDApr11;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;12/04/2019 06:53;781905.3462;7407658.236;FGA12;1;242.1275402;1058;17:38:00;Apr;Guareí;17:38:00
SDApr12;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;12/04/2019 06:53;781905.3462;7407658.236;FGA12;5;242.1275402;1058;17:38:00;Apr;Guareí;17:38:00
SDApr13;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;12/04/2019 06:53;781905.3462;7407658.236;FGA12;4;242.1275402;1058;17:38:00;Apr;Guareí;17:38:00
SDApr14;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;12/04/2019 07:34;781714.9764;7407657.337;FGA13;1;303.6380019;1099;18:14:00;Apr;Guareí;18:19:00
SDApr15;Celtis iguanaea;11/04/2019 13:15;781897.1885;7407900.23;AG65;12/04/2019 08:26;781637.0828;7407729.209;FGA14;3;311.2957637;1151;19:11:00;Apr;Guareí;19:11:00
SDApr16;Annona emarginata;11/04/2019 15:47;781907.8338;7407793.516;AG86;12/04/2019 08:41;781633.2915;7407744.795;FGA16;6;278.8294281;1014;17:06:00;Apr;Guareí;16:54:00
SDApr17;Celtis iguanaea;15/04/2019 13:55;781738.9516;7407921.44;AG105;15/04/2019 15:07;781738.9516;7407921.44;FGA20;7;0;72;01:12:00;Apr;Guareí;01:12:00
SDApr18;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 12:27;781742.7933;7408058.134;FGA21;3;141.3141327;188;03:08:00;Apr;Guareí;03:08:00
SDApr19;Annona emarginata;15/04/2019 13:10;781764.9641;7407987.329;AG61;15/04/2019 13:54;781738.9516;7407921.44;FGA22;1;70.83792911;44;00:44:00;Apr;Guareí;00:44:00
SDApr20;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 10:37;781693.8994;7407924.188;FGA23;7;31.80220118;78;01:18:00;Apr;Guareí;01:18:00
SDApr21;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 11:52;781696.548;7408068.002;FGA24;2;152.7578666;153;02:33:00;Apr;Guareí;02:33:00
SDApr22;Celtis iguanaea;15/04/2019 13:55;781738.9516;7407921.44;AG105;15/04/2019 15:14;781732.9818;7407924.88;FGA25;3;6.890174163;79;01:19:00;Apr;Guareí;01:19:00
SDApr23;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 11:50;781696.548;7408068.002;FGA26;3;152.7578666;151;02:31:00;Apr;Guareí;02:31:00
SDApr24;Annona emarginata;15/04/2019 11:47;781691.9753;7408058.884;AG91;15/04/2019 13:00;781761.3849;7408024.752;FGA27;3;77.3383275;73;01:13:00;Apr;Guareí;01:13:00
SDApr25;Celtis iguanaea;15/04/2019 13:55;781738.9516;7407921.44;AG105;15/04/2019 15:28;781724.7708;7407896.331;FGA28;5;28.83720687;93;01:33:00;Apr;Guareí;01:33:00
SDApr26;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 10:38;781693.8994;7407924.188;FGA29;2;31.80220118;79;01:19:00;Apr;Guareí;01:19:00
SDApr27;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 12:20;781717.5408;7408069.152;FGA30;3;151.4078598;181;03:01:00;Apr;Guareí;03:01:00
SDApr28;Celtis iguanaea;15/04/2019 09:19;781725.0813;7407917.933;AG103;15/04/2019 09:58;781725.0813;7407917.933;FGA31;2;0;39;00:39:00;Apr;Guareí;00:39:00
