"group","id_month","date","time_wakeup_mean","time_sleep_mean","time_wakesleep_mean_diff","time_wakesleep_diff_minutes","timesteps_wakesleep_diff"
"Guareí","Aug",2019-08-11,2022-11-18 07:25:00,2022-11-18 16:55:00,2022-11-18 09:30:00,570,114
"Guareí","Aug",2019-08-12,2022-11-18 07:05:00,2022-11-18 16:55:00,2022-11-18 09:50:00,590,118
"Guareí","Aug",2019-08-13,2022-11-18 07:15:00,2022-11-18 16:50:00,2022-11-18 09:35:00,575,115
"Guareí","Aug",2019-08-14,2022-11-18 07:35:00,2022-11-18 16:10:00,2022-11-18 08:35:00,515,103
"Guareí","Aug",2019-08-15,2022-11-18 07:55:00,2022-11-18 16:20:00,2022-11-18 08:25:00,505,101
"Guareí","Aug",2019-08-19,2022-11-18 07:25:00,2022-11-18 14:10:00,2022-11-18 06:45:00,405,81
"Guareí","Aug",2019-08-20,2022-11-18 06:55:00,2022-11-18 16:05:00,2022-11-18 09:10:00,550,110
"Guareí","Aug",2019-08-21,2022-11-18 07:05:00,2022-11-18 16:50:00,2022-11-18 09:45:00,585,117
"Guareí","Jul",2019-07-11,2022-11-18 08:30:00,2022-11-18 16:10:00,2022-11-18 07:40:00,460,92
"Guareí","Jul",2019-07-12,2022-11-18 07:35:50,2022-11-18 17:30:50,2022-11-18 09:55:00,595,119
"Guareí","Jul",2019-07-13,2022-11-18 07:50:00,2022-11-18 16:25:00,2022-11-18 08:35:00,515,103
"Guareí","Jul",2019-07-16,2022-11-18 08:05:00,2022-11-18 17:05:00,2022-11-18 09:00:00,540,108
"Guareí","Jul",2019-07-17,2022-11-18 08:00:00,2022-11-18 16:15:00,2022-11-18 08:15:00,495,99
"Guareí","Jul",2019-07-18,2022-11-18 07:50:00,2022-11-18 16:35:00,2022-11-18 08:45:00,525,105
"Guareí","Jul",2019-07-19,2022-11-18 07:50:00,2022-11-18 16:45:00,2022-11-18 08:55:00,535,107
"Guareí","Jul",2019-07-20,2022-11-18 07:30:00,2022-11-18 16:50:00,2022-11-18 09:20:00,560,112
"Guareí","Jun",2019-06-10,2022-11-18 07:20:00,2022-11-18 16:25:00,2022-11-18 09:05:00,545,109
"Guareí","Jun",2019-06-11,2022-11-18 07:30:00,2022-11-18 15:35:00,2022-11-18 08:05:00,485,97
