"group","id_month","disp_day","id_feces","defecation_events","nseeds_mean","nseeds_sd","mean_GTT_timesteps","sd_GTT_timesteps"
"Suzano","Feb","next day","FSFev44",2,3,0,203,2.83
"Suzano","Feb","next day","FSFev45",2,3,0,204,2.83
"Suzano","Feb","same day","FSFev39",2,3,1.41,22,1.41
"Suzano","Feb","same day","FSFev40",2,4,1.41,24,1.41
"Suzano","Feb","same day","FSFev41",1,3,NA,28,NA
"Suzano","Feb","same day","FSFev42",1,5,NA,31,NA
"Suzano","Feb","same day","FSFev43",1,2,NA,23,NA
"Suzano","Feb","same day","FSFev46",2,2.5,0.71,23.5,2.12
"Suzano","Feb","same day","FSFev47",1,100,NA,8,NA
"Suzano","Feb","same day","FSFev48",2,3.5,0.71,30,5.66
"Suzano","Feb","same day","FSFev49",1,5,NA,66,NA
"Suzano","Feb","same day","FSFev50",2,3.5,2.12,36,2.83
"Suzano","Feb","same day","FSFev51",1,100,NA,12,NA
"Suzano","Feb","same day","FSFev52",2,3,2.83,28.5,9.19
"Suzano","Apr","next day","FSApr54",1,4,NA,207,NA
"Suzano","Apr","next day","FSApr55",2,53,66.47,202.5,13.44
"Suzano","Apr","same day","FSApr53",1,4,NA,26,NA
"Suzano","Apr","same day","FSApr56",1,7,NA,23,NA
"Suzano","Apr","same day","FSApr57",2,53,66.47,29,5.66
"Suzano","Apr","same day","FSApr58",2,4.5,3.54,19,0
"Suzano","Apr","same day","FSApr59",1,100,NA,16,NA
"Suzano","Sep","next day","FSSep3",1,7,NA,202,NA
"Suzano","Sep","next day","FSSep4",1,6,NA,202,NA
"Suzano","Sep","next day","FSSep5",1,4,NA,186,NA
"Suzano","Sep","next day","FSSep6",1,5,NA,190,NA
"Suzano","Sep","next day","FSSep8",1,2,NA,185,NA
"Suzano","Sep","same day","FSSep1",3,6,2,32.33,8.08
"Suzano","Sep","same day","FSSep10",3,37,54.56,14,12.29
"Suzano","Sep","same day","FSSep11",1,4,NA,13,NA
"Suzano","Sep","same day","FSSep12",1,5,NA,30,NA
"Suzano","Sep","same day","FSSep13",1,5,NA,23,NA
"Suzano","Sep","same day","FSSep14",1,6,NA,26,NA
"Suzano","Sep","same day","FSSep15",2,53.5,65.76,30.5,2.12
"Suzano","Sep","same day","FSSep16",2,54,65.05,32.5,2.12
"Suzano","Sep","same day","FSSep2",3,5.67,1.15,33,8.66
"Suzano","Sep","same day","FSSep7",1,4,NA,23,NA
"Suzano","Sep","same day","FSSep9",1,3,NA,24,NA
"Suzano","Dec","next day","FSDec26",1,7,NA,174,NA
"Suzano","Dec","next day","FSDec27",1,7,NA,183,NA
"Suzano","Dec","next day","FSDec30",1,6,NA,202,NA
"Suzano","Dec","next day","FSDec31",1,5,NA,197,NA
"Suzano","Dec","same day","FSDec17",1,7,NA,26,NA
"Suzano","Dec","same day","FSDec18",1,8,NA,34,NA
"Suzano","Dec","same day","FSDec19",1,7,NA,24,NA
"Suzano","Dec","same day","FSDec20",2,7,0,30.5,2.12
"Suzano","Dec","same day","FSDec21",2,19.5,17.68,16.5,2.12
"Suzano","Dec","same day","FSDec22",2,25,26.87,19.5,2.12
"Suzano","Dec","same day","FSDec23",2,17.5,14.85,24.5,2.12
"Suzano","Dec","same day","FSDec24",1,8,NA,26,NA
"Suzano","Dec","same day","FSDec25",1,7,NA,26,NA
