"group","id_month","defecation_events","nseeds_mean","nseeds_sd","mean_SDD","sd_SDD"
"Suzano","Feb",22,12.09,28.48,169.95,84.16
"Suzano","Apr",10,33.6,45.85,159.8,39.96
"Suzano","Sep",24,17.17,32.01,101.21,55.67
"Suzano","Dec",32,12.38,12.19,108.25,53.56
"Guareí","Apr",121,3.86,2.54,100.93,96.8
"Guareí","May",84,5.23,3.42,67.57,53.45
"Guareí","Jun",128,4.41,3.37,117.34,105.31
"Guareí","Jul",12,6.92,5.96,169.51,66.75
"Santa Maria","Mar",7,4.57,1.99,414.5,263.72
"Santa Maria","May",21,19.76,25.67,252.31,194.51
"Santa Maria","Jun",13,4.38,2.99,269.79,202.89
"Santa Maria","Aug",7,12.14,10.4,114.6,68.05
"Santa Maria","Sep",21,410.86,406.03,275.91,198.2
"Taquara","Jan",53,14.77,22.38,263.77,119.63
"Taquara","Mar",20,14.95,12.64,167.7,73.6
"Taquara","May",17,56.06,48.07,209.18,134.62
"Taquara","Jul",16,7.06,3.45,310.19,65.04
"Taquara","Sep",21,8.1,3.35,261.33,67
"Taquara","Nov",14,7.86,5.68,445,360.58
"Taquara","Dec2017",3,2,1,225.67,35.8
"Taquara","Dec2018",6,9.17,1.17,220.67,29.99
