"group","id_month","timesteps_wakeup_to_def_mean _next_day","timesteps_wakeup_to_def_sd _next_day","max_timestep_to_def _next_day","GTT_timesteps_mean _next_day","GTT_timesteps_sd _next_day","n_disp_events _next_day","timesteps_wakeup_to_def_mean _same_day","timesteps_wakeup_to_def_sd _same_day","max_timestep_to_def _same_day","GTT_timesteps_mean _same_day","GTT_timesteps_sd _same_day","n_disp_events _same_day"
"Suzano","Sep",7,4,11,193,8,5,NA,NA,NA,NA,NA,NA
"Suzano","Dec",6,6,12,189,13,4,NA,NA,NA,NA,NA,NA
"Suzano","Feb",-6,1,-5,204,2,4,NA,NA,NA,NA,NA,NA
"Guareí","May",2,1,3,183,6,19,NA,NA,NA,NA,NA,NA
"Guareí","Jun",4,6,10,202,18,56,NA,NA,NA,NA,NA,NA
"Guareí","Jul",4,2,6,199,1,10,NA,NA,NA,NA,NA,NA
"Taquara","Jan",1,0,1,156,6,2,NA,NA,NA,NA,NA,NA
"Taquara","Sep",1,0,1,196,2,2,NA,NA,NA,NA,NA,NA
"Suzano","Apr",NA,NA,NA,NA,NA,NA,82,NA,NA,23,6,7
"Suzano","Sep",NA,NA,NA,NA,NA,NA,85,9,94,26,9,19
"Suzano","Dec",NA,NA,NA,NA,NA,NA,70,28,98,21,9,28
"Suzano","Feb",NA,NA,NA,NA,NA,NA,51,30,81,28,12,18
"Guareí","May",NA,NA,NA,NA,NA,NA,46,20,66,17,11,65
"Guareí","Jun",NA,NA,NA,NA,NA,NA,52,27,79,18,11,72
"Guareí","Jul",NA,NA,NA,NA,NA,NA,72,1,73,8,0,2
"Santa Maria","Mar",NA,NA,NA,NA,NA,NA,80,29,109,16,12,5
"Taquara","Jan",NA,NA,NA,NA,NA,NA,61,28,89,16,7,51
"Taquara","May",NA,NA,NA,NA,NA,NA,58,30,88,14,5,14
"Taquara","Jul",NA,NA,NA,NA,NA,NA,65,11,76,21,5,16
"Taquara","Sep",NA,NA,NA,NA,NA,NA,47,30,77,19,4,19
