"feed_x","feed_y","def_x","def_y","id_feces","species","feed_datetime","id_feedtree","disp_event","def_datetime","n_seeds","SDD","month_id","gut_transit_time","gut_transit_time_hms","group"
705827.925060718,7481397.41925196,705985.070366476,7481317.62653072,"FSSep1","Xylopia brasiliensis",2018-09-09 11:45:00,"3","SDSuzSep1",2018-09-09 14:50:00,4,174,"Sep",185,03:05:00,"Suzano"
705827.925060718,7481397.41925196,705999.837821062,7481313.45989004,"FSSep2","Xylopia brasiliensis",2018-09-09 11:45:00,"3","SDSuzSep2",2018-09-09 14:55:00,5,189,"Sep",190,03:10:00,"Suzano"
705827.925060718,7481397.41925196,705985.070366476,7481317.62653072,"FSSep1","Myrciaria cuspidata",2018-09-09 11:45:00,"4","SDSuzSep3",2018-09-09 14:50:00,6,174,"Sep",185,03:05:00,"Suzano"
705827.925060718,7481397.41925196,705999.837821062,7481313.45989004,"FSSep2","Myrciaria cuspidata",2018-09-09 11:45:00,"4","SDSuzSep4",2018-09-09 14:55:00,5,189,"Sep",190,03:10:00,"Suzano"
705889.387954759,7481388.12766176,705985.070366476,7481317.62653072,"FSSep1","Trichilia catigua",2018-09-09 12:55:00,"5","SDSuzSep5",2018-09-09 14:50:00,8,116,"Sep",115,01:55:00,"Suzano"
705893.567060988,7481395.8101679,705999.837821062,7481313.45989004,"FSSep2","Trichilia catigua",2018-09-09 13:05:00,"6","SDSuzSep6",2018-09-09 15:00:00,7,131,"Sep",115,01:55:00,"Suzano"
705999.837821062,7481313.45989004,706043.835630479,7481278.0445787,"FSSep3","Neomitranthes obscura",2018-09-09 15:05:00,"7","SDSuzSep7",2018-09-10 07:55:00,7,55,"Sep",1010,16:50:00,"Suzano"
706002.878444511,7481321.94976884,706047.641509138,7481288.95536029,"FSSep4","Neomitranthes obscura",2018-09-09 15:10:00,"8","SDSuzSep8",2018-09-10 08:00:00,6,54,"Sep",1010,16:50:00,"Suzano"
706010.209279122,7481231.20503207,706054.426452235,7481305.32854038,"FSSep5","Trichilia catigua",2018-09-09 16:45:00,"9","SDSuzSep9",2018-09-10 08:15:00,4,82,"Sep",930,15:30:00,"Suzano"
706010.209279122,7481231.20503207,706046.685701064,7481308.84614875,"FSSep6","Trichilia catigua",2018-09-09 16:45:00,"9","SDSuzSep10",2018-09-10 08:35:00,5,81,"Sep",950,15:50:00,"Suzano"
