"feed_x","feed_y","def_x","def_y","id_feces","species","feed_datetime","id_feedtree","def_datetime","disp_event","n_seeds","SDD","month_id","gut_transit_time","gut_transit_time_hms","group"
371303.354035321,7499453.80832719,371492.321219277,7499367.50918562,"FTDec2017_1","Psidium longipetiolatum",2017-12-02 12:30:00,"8",2017-12-02 13:10:00,"SDTaqDec2017_1",2,205,"Dec",40,00:40:00,"Taquara"
371303.354035321,7499453.80832719,371492.321219277,7499367.50918562,"FTDec2017_2","Psidium longipetiolatum",2017-12-02 12:30:00,"8",2017-12-02 13:10:00,"SDTaqDec2017_2",1,205,"Dec",40,00:40:00,"Taquara"
372591.907515687,7499348.81932473,372674.246013861,7499621.95447868,"FTDec2017_3","Psidium longipetiolatum",2017-12-03 13:00:00,"16",2017-12-03 13:45:00,"SDTaqDec2017_3",3,267,"Dec",45,00:45:00,"Taquara"
371128.713067269,7500109.95874029,370892.958174484,7499865.51064424,"FTJan4","Psidium longipetiolatum",2018-01-27 10:15:00,"26",2018-01-27 11:45:00,"SDTaqJan4",5,327,"Jan",90,01:30:00,"Taquara"
371128.713067269,7500109.95874029,370892.958174484,7499865.51064424,"FTJan5","Psidium longipetiolatum",2018-01-27 10:15:00,"26",2018-01-27 11:55:00,"SDTaqJan5",5,327,"Jan",100,01:40:00,"Taquara"
370904.471267026,7499889.52892321,370892.958174484,7499865.51064424,"FTJan4","Campomanesia xanthocarpa",2018-01-27 11:25:00,"27",2018-01-27 11:45:00,"SDTaqJan6",7,25,"Jan",20,00:20:00,"Taquara"
370904.471267026,7499889.52892321,370892.958174484,7499865.51064424,"FTJan5","Campomanesia xanthocarpa",2018-01-27 11:25:00,"27",2018-01-27 11:55:00,"SDTaqJan7",8,25,"Jan",30,00:30:00,"Taquara"
370625.705199431,7499610.94821994,370669.662848779,7499455.15176437,"FTJan6","Campomanesia xanthocarpa",2018-01-27 13:10:00,"28",2018-01-27 14:05:00,"SDTaqJan8",9,151,"Jan",55,00:55:00,"Taquara"
370614.570648213,7499531.7262388,370899.343373869,7499234.65306336,"FTJan7","Psidium longipetiolatum",2018-01-27 13:45:00,"29",2018-01-27 15:00:00,"SDTaqJan9",3,396,"Jan",75,01:15:00,"Taquara"
370614.570648213,7499531.7262388,370980.465492283,7499258.79621567,"FTJan8","Psidium longipetiolatum",2018-01-27 13:45:00,"29",2018-01-27 15:10:00,"SDTaqJan10",5,445,"Jan",85,01:25:00,"Taquara"
