"disp_event","id_feces","n_seeds"
"SDApr1","FGA1",5
"SDApr2","FGA2",1
"SDApr3","FGA3",2
"SDApr4","FGA3",1
"SDApr5","FGA6",3
"SDApr6","FGA7",3
"SDApr7","FGA8",3
"SDApr8","FGA9",2
"SDApr10","FGA10",5
"SDApr9","FGA11",3
"SDApr11","FGA12",1
"SDApr12","FGA12",5
"SDApr13","FGA12",4
"SDApr14","FGA13",1
"SDApr15","FGA14",3
"SDApr16","FGA16",6
"SDApr17","FGA20",7
"SDApr18","FGA21",3
"SDApr19","FGA22",1
"SDApr20","FGA23",7
"SDApr21","FGA24",2
"SDApr22","FGA25",3
"SDApr23","FGA26",3
"SDApr24","FGA27",3
"SDApr25","FGA28",5
"SDApr26","FGA29",2
"SDApr27","FGA30",3
"SDApr28","FGA31",2
"SDApr29","FGA32",2
"SDApr30","FGA33",2
"SDApr31","FGA33",1
"SDApr32","FGA35",4
"SDApr33","FGA36",8
"SDApr34","FGA36",7
"SDApr35","FGA37",4
"SDApr36","FGA38",3
"SDApr37","FGA39",7
"SDApr38","FGA39",6
"SDApr39","FGA39",2
"SDApr40","FGA40",4
"SDApr41","FGA41",5
"SDApr42","FGA42",5
"SDApr43","FGA43",5
"SDApr44","FGA43",1
"SDApr45","FGA44",2
"SDApr46","FGA45",3
"SDApr47","FGA46",2
"SDApr48","FGA47",6
"SDApr49","FGA48",4
"SDApr50","FGA49",2
"SDApr51","FGA50",6
"SDApr52","FGA51",10
"SDApr53","FGA51",5
"SDApr54","FGA52",6
"SDApr55","FGA53",1
"SDApr56","FGA54",7
"SDApr57","FGA55",2
"SDApr58","FGA56",4
"SDApr59","FGA57",3
"SDApr60","FGA58",9
"SDApr61","FGA59",2
"SDApr62","FGA60",1
"SDApr63","FGA61",1
"SDApr64","FGA61",3
"SDApr65","FGA62",7
"SDApr66","FGA63",2
"SDApr67","FGA64",3
"SDApr68","FGA65",3
"SDApr69","FGA66",4
"SDApr70","FGA67",6
"SDApr71","FGA68",5
"SDApr72","FGA69",3
"SDApr73","FGA70",4
"SDApr74","FGA71",3
"SDApr75","FGA72",4
"SDApr76","FGA73",3
"SDApr77","FGA74",4
"SDApr78","FGA77",2
"SDApr79","FGA77",4
"SDApr80","FGA78",2
"SDApr81","FGA78",1
"SDApr82","FGA79",1
"SDApr83","FGA80",3
"SDApr84","FGA81",9
"SDApr85","FGA82",2
"SDApr86","FGA83",1
"SDApr87","FGA84",1
"SDApr88","FGA85",10
"SDApr89","FGA86",1
"SDApr90","FGA87",6
"SDApr91","FGA88",3
"SDApr92","FGA89",1
"SDApr93","FGA89",2
"SDApr94","FGA90",1
"SDApr95","FGA91",2
"SDApr96","FGA92",4
"SDApr97","FGA93",4
"SDApr98","FGA93",1
"SDApr99","FGA94",3
"SDApr100","FGA95",7
"SDApr101","FGA96",1
"SDApr101","FGA96",7
"SDApr102","FGA97",3
"SDApr103","FGA98",1
"SDApr104","FGA101",5
"SDApr106","FGA102",4
"SDApr107","FGA103",5
"SDApr108","FGA104",8
"SDApr109","FGA105",2
"SDApr110","FGA106",4
"SDApr112","FGA107",6
"SDApr113","FGA108",9
"SDApr114","FGA108",12
"SDApr115","FGA109",14
"SDApr116","FGA110",9
"SDApr117","FGA111",6
"SDApr118","FGA112",4
"SDApr119","FGA113",4
"SDApr120","FGA114",2
"SDApr121","FGA115",2
"SDApr122","FGA116",3
"SDApr123","FGA117",5
"SDApr124","FGA118",3
"SDMay1","FGM1",1
"SDMay1","FGM1",2
"SDMay1","FGM1",0
"SDMay2","FGM2",5
"SDMay2","FGM2",0
"SDMay3","FGM3",4
"SDMay4","FGM4",7
"SDMay5","FGM5",5
"SDMay6","FGM6",4
"SDMay7","FGM7",7
