"disp_event","sp_dispersal","n_seeds","feed_datetime","feed_east","feed_north","id_feedtree","def_datetime"
"SDA1","Celtis iguanaea",5,2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 07:14:00
"SDA2","Celtis iguanaea",1,2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:24:00
"SDA3","Celtis iguanaea",2,2019-04-10 14:14:00,781867.255689029,7407917.99003149,"AG75Y",2019-04-11 08:40:00
"SDA4","Cordia ecalyculata",1,2019-04-11 07:41:00,781879.409381217,7407543.02522444,"AG62",2019-04-11 08:40:00
"SDA5","Diospyros inconstans",3,2019-04-11 10:19:00,782202.620636674,7407479.08508806,"AG81",2019-04-11 11:29:00
"SDA6","Diospyros inconstans",3,2019-04-11 11:45:00,782061.387304749,7407522.57533922,"AG82",2019-04-11 12:58:00
"SDA7","Celtis iguanaea",3,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:42:00
"SDA8","Celtis iguanaea",2,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 14:48:00
"SDA9","Celtis iguanaea",3,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:34:00
"SDA10","Celtis iguanaea",5,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-11 15:28:00
"SDA11","Celtis iguanaea",1,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00
"SDA12","Celtis iguanaea",5,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00
"SDA13","Celtis iguanaea",4,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 06:53:00
"SDA14","Celtis iguanaea",1,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 07:34:00
"SDA15","Celtis iguanaea",3,2019-04-11 13:15:00,781897.188481099,7407900.23037001,"AG65",2019-04-12 08:26:00
"SDA16","Annona emarginata",6,2019-04-11 15:47:00,781907.833815352,7407793.5161357,"AG86",2019-04-12 08:41:00
"SDA17","Celtis iguanaea",7,2019-04-15 13:55:00,781738.951632328,7407921.43980266,"AG105",2019-04-15 15:07:00
"SDA18","Celtis iguanaea",3,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 12:27:00
"SDA19","Annona emarginata",1,2019-04-15 13:10:00,781764.964063551,7407987.32861701,"AG61",2019-04-15 13:54:00
"SDA20","Celtis iguanaea",7,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 10:37:00
"SDA21","Celtis iguanaea",2,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 11:52:00
"SDA22","Celtis iguanaea",3,2019-04-15 13:55:00,781738.951632328,7407921.43980266,"AG105",2019-04-15 15:14:00
"SDA23","Celtis iguanaea",3,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 11:50:00
"SDA24","Annona emarginata",3,2019-04-15 11:47:00,781691.975313178,7408058.88351688,"AG91",2019-04-15 13:00:00
"SDA25","Celtis iguanaea",5,2019-04-15 13:55:00,781738.951632328,7407921.43980266,"AG105",2019-04-15 15:28:00
"SDA26","Celtis iguanaea",2,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 10:38:00
"SDA27","Celtis iguanaea",3,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 12:20:00
"SDA28","Celtis iguanaea",2,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 09:58:00
"SDA29","Celtis iguanaea",2,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 11:44:00
"SDA30","Celtis iguanaea",2,2019-04-15 09:19:00,781725.081311914,7407917.93345944,"AG103",2019-04-15 11:36:00
"SDA31","Annona emarginata",1,2019-04-15 11:23:00,781650.351210903,7408070.10319047,"AG73",2019-04-15 11:36:00
"SDA32","Celtis iguanaea",4,2019-04-15 15:11:00,781738.951632328,7407921.43980266,"AG105",2019-04-16 06:39:00
"SDA33","Celtis iguanaea",8,2019-04-15 15:11:00,781738.951632328,7407921.43980266,"AG105",2019-04-16 06:40:00
"SDA34","Celtis iguanaea",7,2019-04-15 15:11:00,781738.951632328,7407921.43980266,"AG105",2019-04-16 06:40:00
"SDA35","Celtis iguanaea",4,2019-04-15 15:11:00,781738.951632328,7407921.43980266,"AG105",2019-04-16 06:41:00
"SDA36","Celtis iguanaea",3,2019-04-15 15:11:00,781738.951632328,7407921.43980266,"AG105",2019-04-16 06:43:00
