x;y;point;species;id_month;id_nday;id_point_mon;date;hours;POSIXct;elevation;behavior
781969.8024;7407899.62;DG03;;may;may006;may450;16/05/2019;07:25:13;16/05/19 07:25:13;676.32;NA
781962.5062;7407894.688;;;may;may006;may451;16/05/2019;07:30:13;16/05/19 07:30:13;671.63;travel
781925.3844;7407924.746;AG153;Celtis iguanaea;may;may006;may452;16/05/2019;07:35:13;16/05/19 07:35:13;671.74;feed_fruits
781898.1291;7407922.49;AG154;Celtis iguanaea;may;may006;may453;16/05/2019;07:40:13;16/05/19 07:40:13;668.29;feed_fruits
781898.1291;7407922.49;AG154;Celtis iguanaea;may;may006;may454;16/05/2019;07:45:13;16/05/19 07:45:13;668.29;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may455;16/05/2019;07:50:13;16/05/19 07:50:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may456;16/05/2019;07:55:13;16/05/19 07:55:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may457;16/05/2019;08:00:13;16/05/19 08:00:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may458;16/05/2019;08:05:13;16/05/19 08:05:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may459;16/05/2019;08:10:13;16/05/19 08:10:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may460;16/05/2019;08:15:13;16/05/19 08:15:13;668.538086;feed_fruits
781897.1885;7407900.23;AG65;Celtis iguanaea;may;may006;may461;16/05/2019;08:20:13;16/05/19 08:20:13;668.538086;feed_fruits
781885.459;7407917.642;AG155;Celtis iguanaea;may;may006;may462;16/05/2019;08:25:13;16/05/19 08:25:13;660.6;feed_fruits
781885.459;7407917.642;AG155;Celtis iguanaea;may;may006;may463;16/05/2019;08:30:13;16/05/19 08:30:13;660.6;feed_fruits
781885.459;7407917.642;AG155;Celtis iguanaea;may;may006;may464;16/05/2019;08:35:13;16/05/19 08:35:13;660.6;feed_fruits
781885.459;7407917.642;AG155;Celtis iguanaea;may;may006;may465;16/05/2019;08:40:13;16/05/19 08:40:13;660.6;feed_fruits
781876.8813;7407912.046;;;may;may006;may466;16/05/2019;08:45:13;16/05/19 08:45:13;662.95;travel
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may467;16/05/2019;08:50:13;16/05/19 08:50:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may468;16/05/2019;08:55:13;16/05/19 08:55:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may469;16/05/2019;09:00:13;16/05/19 09:00:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may470;16/05/2019;09:05:13;16/05/19 09:05:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may471;16/05/2019;09:10:13;16/05/19 09:10:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may472;16/05/2019;09:15:13;16/05/19 09:15:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may473;16/05/2019;09:20:13;16/05/19 09:20:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may474;16/05/2019;09:25:13;16/05/19 09:25:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may475;16/05/2019;09:30:13;16/05/19 09:30:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may476;16/05/2019;09:35:13;16/05/19 09:35:13;656.609558;feed_fruits
781882.9706;7407900.066;AG156;Celtis iguanaea;may;may006;may477;16/05/2019;09:40:13;16/05/19 09:40:13;656.609558;feed_fruits
781876.2281;7407901.663;;;may;may006;may478;16/05/2019;09:45:13;16/05/19 09:45:13;662.28;idle
781872.4821;7407900.35;;;may;may006;may479;16/05/2019;09:50:13;16/05/19 09:50:13;661.25;travel
781850.7822;7407883.301;;;may;may006;may480;16/05/2019;09:55:13;16/05/19 09:55:13;661.37;feed_fruits
781859.0451;7407904.249;;;may;may006;may481;16/05/2019;10:00:13;16/05/19 10:00:13;665.59;for
781848.4449;7407895.562;;;may;may006;may482;16/05/2019;10:05:13;16/05/19 10:05:13;662.75;travel
781867.1676;7407897.266;AG125;Celtis iguanaea;may;may006;may483;16/05/2019;10:10:13;16/05/19 10:10:13;664.284668;feed_fruits
781867.1676;7407897.266;AG125;Celtis iguanaea;may;may006;may484;16/05/2019;10:15:13;16/05/19 10:15:13;664.284668;feed_fruits
781867.1676;7407897.266;AG125;Celtis iguanaea;may;may006;may485;16/05/2019;10:20:13;16/05/19 10:20:13;664.284668;feed_fruits
781861.2924;7407891.321;;;may;may006;may486;16/05/2019;10:25:13;16/05/19 10:25:13;664.4;travel
781862.9145;7407900.366;;;may;may006;may487;16/05/2019;10:30:13;16/05/19 10:30:13;666.81;travel
781869.9917;7407916.256;;;may;may006;may488;16/05/2019;10:35:13;16/05/19 10:35:13;668.06;travel
781863.5356;7407921.164;AG77;Celtis iguanaea;may;may006;may489;16/05/2019;10:40:13;16/05/19 10:40:13;665.546265;feed_fruits
781865.7265;7407928.573;;;may;may006;may490;16/05/2019;10:45:13;16/05/19 10:45:13;672.05;travel
781867.4461;7407947.194;;;may;may006;may491;16/05/2019;10:50:13;16/05/19 10:50:13;674.63;travel
781880.1293;7407978.25;;;may;may006;may492;16/05/2019;10:55:13;16/05/19 10:55:13;679.39;travel
781883.9827;7407995.474;AG157;Celtis iguanaea;may;may006;may493;16/05/2019;11:00:13;16/05/19 11:00:13;676.913391;feed_fruits
781883.9827;7407995.474;AG157;Celtis iguanaea;may;may006;may494;16/05/2019;11:05:13;16/05/19 11:05:13;676.913391;feed_fruits
781883.9827;7407995.474;AG157;Celtis iguanaea;may;may006;may495;16/05/2019;11:10:13;16/05/19 11:10:13;676.913391;feed_fruits
781883.9827;7407995.474;AG157;Celtis iguanaea;may;may006;may496;16/05/2019;11:15:13;16/05/19 11:15:13;676.913391;feed_fruits
781883.9827;7407995.474;AG157;Celtis iguanaea;may;may006;may497;16/05/2019;11:20:13;16/05/19 11:20:13;676.913391;feed_fruits
781899.0136;7408006.752;;;may;may006;may498;16/05/2019;11:25:13;16/05/19 11:25:13;682.15;travel
781887.4152;7408010.412;;;may;may006;may499;16/05/2019;11:30:13;16/05/19 11:30:13;683;outofsight
781880.4547;7408020.327;;;may;may006;may500;16/05/2019;11:35:13;16/05/19 11:35:13;682.97;for
