x	y	point	species
781969.8024	7407899.62	DG03	
781962.5062	7407894.688		
781925.3844	7407924.746	AG153	Celtis iguanaea
781898.1291	7407922.49	AG154	Celtis iguanaea
781898.1291	7407922.49	AG154	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781885.459	7407917.642	AG155	Celtis iguanaea
781885.459	7407917.642	AG155	Celtis iguanaea
781885.459	7407917.642	AG155	Celtis iguanaea
781885.459	7407917.642	AG155	Celtis iguanaea
781876.8813	7407912.046		
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781882.9706	7407900.066	AG156	Celtis iguanaea
781876.2281	7407901.663		
781872.4821	7407900.35		
781850.7822	7407883.301		
781859.0451	7407904.249		
781848.4449	7407895.562		
781867.1676	7407897.266	AG125	Celtis iguanaea
781867.1676	7407897.266	AG125	Celtis iguanaea
781867.1676	7407897.266	AG125	Celtis iguanaea
781861.2924	7407891.321		
781862.9145	7407900.366		
781869.9917	7407916.256		
781863.5356	7407921.164	AG77	Celtis iguanaea
781865.7265	7407928.573		
781867.4461	7407947.194		
781880.1293	7407978.25		
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781899.0136	7408006.752		
781887.4152	7408010.412		
781880.4547	7408020.327		
781876.5631	7408026.635		
781861.3488	7408041.159		
781863.6635	7408045.184		
781860.8138	7408050.385		
781860.89	7408055.261		
781860.5396	7408062.932		
781852.8585	7408048.196		
781842.4572	7408033.327		
781836.5519	7408029.845		
781840.0883	7408058.725		
781836.429	7408100.015		
781822.2304	7408108.034		
781821.4512	7408116.596	AG130	Syagrus romanzoffiana
781821.4512	7408116.596	AG130	Syagrus romanzoffiana
781821.4512	7408116.596	AG130	Syagrus romanzoffiana
781812.3539	7408134.477		
781817.9518	7408140.269		
781809.8473	7408145.515		
781807.5684	7408145.15		
781803.4905	7408144.42		
781792.1787	7408137.529		
781782.8365	7408136.788		
781767.4136	7408123.845		
781755.7874	7408126.957		
781753.1288	7408104.963		
781748.7803	7408114.726		
781737.4911	7408128.282	AG76	Celtis iguanaea
781737.4911	7408128.282	AG76	Celtis iguanaea
781743.8476	7408136.531		
781725.1045	7408155.284		
781732.0378	7408179.789		
781717.2611	7408184.038		
781720.6411	7408184.141		
781702.4318	7408211.532		
781688.3398	7408217.961		
781697	7408200	RG03	Myrocarpus frondosus
781697	7408200	RG03	Myrocarpus frondosus
781697	7408200	RG03	Myrocarpus frondosus
781695.4043	7408205.405		
781704.7141	7408212.966		
781707.7143	7408206.665		
781730.1383	7408198.359	AG129	Syagrus romanzoffiana
781730.1383	7408198.359	AG129	Syagrus romanzoffiana
781730.1383	7408198.359	AG129	Syagrus romanzoffiana
781730.1383	7408198.359	AG129	Syagrus romanzoffiana
781730.1383	7408198.359	AG129	Syagrus romanzoffiana
781761.9863	7408181.631		
781800.0205	7408177.243		
781817.254	7408170.103		
781830.7695	7408159.988		
781847.8043	7408162.18		
781854.9599	7408149.91		
781852.1903	7408135.563		
781860.8523	7408123.608		
781876.0736	7408100.937		
781920.148	7408080.222		
781975.8272	7408039.172		
782014.9065	7408050.872		
782035.155	7408024.797		
782050.3804	7408005.043		
782007.7942	7407942.742		
781994.1559	7407906.595		
782010.6379	7407883.519		
781974.8941	7407887.037		
781969.8024	7407899.62	DG03	
781969.8024	7407899.62	DG03	
781969.8024	7407899.62		
781962.9535	7407884.469		
781959.894	7407816.488		
781972.3998	7407731.736		
781982.3945	7407708.366		
782033.796	7407730.077		
782014.9814	7407684.182	AG158	Syagrus romanzoffiana
782014.9814	7407684.182	AG158	Syagrus romanzoffiana
782014.9814	7407684.182	AG158	Syagrus romanzoffiana
782025.7759	7407663.63		
782007.0489	7407639.761		
782034.6203	7407617.819		
782039.1926	7407602.301		
782033.3621	7407565.122		Cariniana estrelensis
782066.7541	7407558.369		
782107.2132	7407552.652		
782114.5616	7407549.129		
782155.988	7407536.184		
782171.5155	7407527.757		
782188.2189	7407522.086		
782229.8085	7407522.125		
782225.0765	7407522.597		
782212.0684	7407545.272		
782227.0428	7407555.845		
782248.6853	7407566.764		
782233.4632	7407566.972		
782228.6145	7407572.537		
782263.9302	7407551.199		
782274.2941	7407550.694		
782295.5678	7407564.732		
782307.0503	7407547.446		
782319.1708	7407538.397		
782315.107	7407557.613	AG159	Syagrus romanzoffiana
782315.107	7407557.613	AG159	Syagrus romanzoffiana
782315.107	7407557.613	AG159	Syagrus romanzoffiana
782343.7478	7407513.233		
782357.5859	7407515.959		
782361.3359	7407527.314		
782361.5202	7407537.817		
782356.855	7407514.059		
782333.4015	7407511.527		
782321.1994	7407489.502		
782305.4883	7407472.254		
782301.1782	7407474.157		
782291.2761	7407480.414		
782277.0401	7407463.194		
782278.6275	7407455.22		
782267.6582	7407437.566		
782255.2441	7407425.485		
782196.7628	7407404.728		
782162.6905	7407402.362		
782135.0922	7407402.742		
782125.2905	7407407.529		
782114.5237	7407405.348		
782065.183	7407413.289		
782058.4313	7407412.6		
782028.9268	7407429.832		
781984.9737	7407403.956		
781981.9835	7407401.812		
781994.1674	7407414.863		
781981.2262	7407416.43		
781997.6562	7407425.582		
781992.0408	7407450.197		
781973.7748	7407451.717		
781958.4407	7407458.607		
781941.3823	7407484.685		
781930.1897	7407499.662		
781909.4155	7407518.398	AG136	Syagrus romanzoffiana
781909.4155	7407518.398	AG136	Syagrus romanzoffiana
781903.819	7407527.442		
781887.1023	7407541.828		
781887.3888	7407538.431		
781887.614	7407541.688		
781897.4161	7407548.105		
781883.476	7407535.571		
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781853.772	7407507.488	AG149	Syagrus romanzoffiana
781831.3257	7407521.268		
781804.087	7407533.727		
781789.8894	7407541.766		
781780.4223	7407573.004		
781794.8792	7407572.68	AG160	Syagrus romanzoffiana
781794.8792	7407572.68	AG160	Syagrus romanzoffiana
781803.9024	7407599.319		
781796.4806	7407619.165		
781792.1765	7407629.002		
781785.7241	7407634.997		
781783.4924	7407681.889		
781813.57	7407721.428		
781808.0125	7407740.133		
781807.2377	7407783.411		
781857.8256	7407823.087		
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781855.8254	7407844.446		
781878.7673	7407868.152		
781885.4169	7407875.586		
781886.996	7407892.241		
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781907.3031	7407894.751		
781946.558	7407892.81		
781969.8024	7407899.62	DG03	
781969.8024	7407899.62	DG03	
781960.5523	7407900.095		
781962.8877	7407890.881	AG162	Celtis iguanaea
781958.8096	7407890.123		
781923.2471	7407908.92		
781913.5772	7407917.475		
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781893.1935	7407925.742		
781883.7797	7407928.869		
781869.7619	7407928.885		
781864.5125	7407926.533		
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781860.5631	7407941.427		
781854.1304	7407938.169		
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781837.2502	7407953.448		
781835.1882	7407959.063		
781820.7982	7407962.459		
