"x";"y";"point";"species";"id_month";"id_nday";"id_point_mon";"date";"hours";"POSIXct";"elevation";"behavior"
"781822.2296";"7407655.173";"AG306";"Pereskia aculeata";"august";"aug001";"aug005";"11/08/2019";"07:45:00";"11/08/19 07:45:00";"654.494141";"feed_fruits"
"781828.2174";"7407668.798";"AG307";"Pereskia aculeata";"august";"aug001";"aug006";"11/08/2019";"07:50:00";"11/08/19 07:50:00";"678.733032";"feed_fruits"
"781821.6265";"7407693.088";"AG308";"Pereskia aculeata";"august";"aug001";"aug010";"11/08/2019";"08:10:00";"11/08/19 08:10:00";"669.818359";"feed_fruits"
"781757.4814";"7407724.462";"AG309";"Pereskia aculeata";"august";"aug001";"aug015";"11/08/2019";"08:35:00";"11/08/19 08:35:00";"654.758057";"feed_fruits"
"781719.0802";"7407748.589";"AG214";"Pereskia aculeata";"august";"aug001";"aug018";"11/08/2019";"08:50:00";"11/08/19 08:50:00";"660.090271";"feed_fruits"
"781749.1251";"7407897.082";"AG43";"Pereskia aculeata";"august";"aug001";"aug030";"11/08/2019";"09:50:00";"11/08/19 09:50:00";"671.647949";"feed_fruits"
"781843.1857";"7408017.641";"AG229";"Pereskia aculeata";"august";"aug001";"aug040";"11/08/2019";"10:40:00";"11/08/19 10:40:00";"681.634155";"feed_fruits"
"781768.2835";"7408048.338";"AG228";"Pereskia aculeata";"august";"aug001";"aug051";"11/08/2019";"11:35:00";"11/08/19 11:35:00";"708.794434";"feed_fruits"
"781702.4132";"7408176.946";"AG311";"Pereskia aculeata";"august";"aug001";"aug075";"11/08/2019";"13:35:00";"11/08/19 13:35:00";"707.047607";"feed_fruits"
"781699.3978";"7408200.833";"AG225";"Pereskia aculeata";"august";"aug001";"aug082";"11/08/2019";"14:10:00";"11/08/19 14:10:00";"697.310242";"feed_fruits"
"781681.9968";"7408205";"";"";"august";"aug001";"aug093";"11/08/2019";"15:05:00";"11/08/19 15:05:00";"712";"feed_fruits"
"781687.9968";"7408202";"";"";"august";"aug001";"aug094";"11/08/2019";"15:10:00";"11/08/19 15:10:00";"709";"feed_fruits"
"781684.9968";"7408209";"";"";"august";"aug001";"aug095";"11/08/2019";"15:15:00";"11/08/19 15:15:00";"708";"resting"
"781685.9968";"7408204";"";"";"august";"aug001";"aug096";"11/08/2019";"15:20:00";"11/08/19 15:20:00";"708";"resting"
"781678.9968";"7408206";"";"";"august";"aug001";"aug098";"11/08/2019";"15:30:00";"11/08/19 15:30:00";"707";"resting"
"781683.9968";"7408208";"";"";"august";"aug001";"aug099";"11/08/2019";"15:35:00";"11/08/19 15:35:00";"708";"feed_fruits"
"781730.1383";"7408198.359";"AG129";"Syagrus romanzoffiana";"august";"aug001";"aug105";"11/08/2019";"16:05:00";"11/08/19 16:05:00";"706.68";"feed_fruits"
"781876.5993";"7408149.449";"AG312";"Pereskia aculeata";"august";"aug001";"aug114";"11/08/2019";"16:50:00";"11/08/19 16:50:00";"712.57843";"feed_fruits"
"781879.2177";"7408115.593";"DG23";"";"august";"aug001";"aug115";"11/08/2019";"16:55:00";"11/08/19 16:55:00";"714.785034";"sleeping"
"782052.1574";"7407809.592";"AG314";"Pereskia aculeata";"august";"aug002";"aug136";"12/08/2019";"08:45:00";"12/08/19 08:45:00";"694.070129";"feed_fruits"
"781978.2468";"7407699.509";"AG315";"Pereskia aculeata";"august";"aug002";"aug143";"12/08/2019";"09:20:00";"12/08/19 09:20:00";"686.204773";"feed_fruits"
"781969.1051";"7407697.584";"AG316";"Pereskia aculeata";"august";"aug002";"aug144";"12/08/2019";"09:25:00";"12/08/19 09:25:00";"684.772827";"feed_fruits"
"781956.33";"7407692.617";"AG317";"Pereskia aculeata";"august";"aug002";"aug146";"12/08/2019";"09:35:00";"12/08/19 09:35:00";"685.045776";"feed_fruits"
"781900.9968";"7407627";"";"";"august";"aug002";"aug164";"12/08/2019";"11:05:00";"12/08/19 11:05:00";"678";"resting"
"781885.9968";"7407626";"";"";"august";"aug002";"aug165";"12/08/2019";"11:10:00";"12/08/19 11:10:00";"672";"resting"
"781882.9968";"7407616";"";"";"august";"aug002";"aug166";"12/08/2019";"11:15:00";"12/08/19 11:15:00";"669";"resting"
"781883.9968";"7407618";"";"";"august";"aug002";"aug167";"12/08/2019";"11:20:00";"12/08/19 11:20:00";"669";"resting"
"781884.9968";"7407624";"";"";"august";"aug002";"aug168";"12/08/2019";"11:25:00";"12/08/19 11:25:00";"666";"resting"
"781879.9968";"7407625";"";"";"august";"aug002";"aug169";"12/08/2019";"11:30:00";"12/08/19 11:30:00";"660";"resting"
"781883.9968";"7407614";"";"";"august";"aug002";"aug170";"12/08/2019";"11:35:00";"12/08/19 11:35:00";"668";"resting"
"781888.9968";"7407616";"";"";"august";"aug002";"aug171";"12/08/2019";"11:40:00";"12/08/19 11:40:00";"663";"resting"
"781884.9968";"7407616";"";"";"august";"aug002";"aug172";"12/08/2019";"11:45:00";"12/08/19 11:45:00";"662";"resting"
"781882.9968";"7407619";"";"";"august";"aug002";"aug173";"12/08/2019";"11:50:00";"12/08/19 11:50:00";"662";"resting"
"781881.9968";"7407615";"";"";"august";"aug002";"aug174";"12/08/2019";"11:55:00";"12/08/19 11:55:00";"662";"resting"
