"x";"y";"point";"species";"id_month";"id_nday";"id_point_mon";"date";"hours";"POSIXct";"elevation";"behavior"
"781987.2289";"7407661.322";"AG169";"Syagrus romanzoffiana";"june";"jun001";"jun010";"10/06/2019";"08:05:00";"10/06/19 08:05:00";"679.18512";"feed_fruits"
"782033.3621";"7407565.122";"FG08";"Cariniana estrelensis";"june";"jun001";"jun018";"10/06/2019";"08:45:00";"10/06/19 08:45:00";"664.589905";"feed_fruits"
"782054.2369";"7407515.401";"";"";"june";"jun001";"jun025";"10/06/2019";"09:20:00";"10/06/19 09:20:00";"658.88";"feed_fruits"
"782041.5087";"7407440.832";"AG170";"Syagrus romanzoffiana";"june";"jun001";"jun029";"10/06/2019";"09:40:00";"10/06/19 09:40:00";"669.835327";"feed_fruits"
"782027.7428";"7407442.759";"AG171";"Pereskia aculeata";"june";"jun001";"jun036";"10/06/2019";"10:15:00";"10/06/19 10:15:00";"663.92334";"feed_fruits"
"782008.0341";"7407417.756";"AG172";"Syagrus romanzoffiana";"june";"jun001";"jun044";"10/06/2019";"10:55:00";"10/06/19 10:55:00";"656.825012";"feed_fruits"
"782055.6703";"7407357.545";"AG114";"Syagrus romanzoffiana";"june";"jun001";"jun048";"10/06/2019";"11:15:00";"10/06/19 11:15:00";"667.73468";"feed_fruits"
"782120.0155";"7407395.767";"AG173";"Syagrus romanzoffiana";"june";"jun001";"jun058";"10/06/2019";"12:05:00";"10/06/19 12:05:00";"675.730469";"feed_fruits"
"782172.2436";"7407431.117";"AG174";"Syagrus romanzoffiana";"june";"jun001";"jun069";"10/06/2019";"13:00:00";"10/06/19 13:00:00";"641.609009";"feed_fruits"
"782049.9265";"7407452.859";"AG175";"Syagrus romanzoffiana";"june";"jun001";"jun085";"10/06/2019";"14:20:00";"10/06/19 14:20:00";"670.107666";"feed_fruits"
