 3191 30 1 781854.98 7407812.44 185.4 "resting" "to resting tree" 
 3192 30 2 781839.92 7407825.3 58.4 "hungry" "search feeding tree" 
 3193 30 3 781839.92 7407825.3 56.8 "hungry" "on feeding tree" 
 3194 30 4 781839.92 7407825.3 61.8 "hungry" "on feeding tree" 
 3195 30 5 781839.92 7407825.3 66.8 "hungry" "on feeding tree" 
 3196 30 6 781822.51 7407834.73 65.2 "hungry" "search feeding tree" 
 3197 30 7 781822.51 7407834.73 63.6 "hungry" "on feeding tree" 
 3198 30 8 781822.51 7407834.73 70.6 "hungry" "on feeding tree" 
 3199 30 9 781822.51 7407834.73 77.6 "hungry" "on feeding tree" 
 3200 30 10 781809.09 7407849.29 76 "hungry" "search feeding tree" 
 3201 30 11 781809.09 7407849.29 74.4 "hungry" "on feeding tree" 
 3202 30 12 781809.09 7407849.29 81.4 "hungry" "on feeding tree" 
 3203 30 13 781800.24 7407867 79.8 "hungry" "search feeding tree" 
 3204 30 14 781800.24 7407867 78.2 "hungry" "on feeding tree" 
 3205 30 15 781800.24 7407867 85.2 "hungry" "on feeding tree" 
 3206 30 16 781810.13 7407884.16 83.6 "hungry" "search feeding tree" 
 3207 30 17 781810.13 7407884.16 82 "hungry" "on feeding tree" 
 3208 30 18 781824.61 7407897.67 80.4 "hungry" "search feeding tree" 
 3209 30 19 781824.61 7407897.67 78.8 "hungry" "on feeding tree" 
 3210 30 20 781824.61 7407897.67 85.8 "hungry" "on feeding tree" 
 3211 30 21 781824.61 7407897.67 92.8 "hungry" "on feeding tree" 
 3212 30 22 781824.61 7407897.67 99.8 "hungry" "on feeding tree" 
 3213 30 23 781843.46 7407891.6 98.2 "hungry" "search feeding tree" 
 3214 30 24 781843.46 7407891.6 96.6 "hungry" "on feeding tree" 
 3215 30 25 781860.95 7407900.88 95 "hungry" "search feeding tree" 
 3216 30 26 781860.95 7407900.88 93.4 "hungry" "on feeding tree" 
 3217 30 27 781860.95 7407900.88 97.4 "hungry" "on feeding tree" 
 3218 30 28 781878.08 7407890.94 95.8 "hungry" "search feeding tree" 
 3219 30 29 781878.08 7407890.94 94.2 "hungry" "on feeding tree" 
 3220 30 30 781885.35 7407909.36 92.6 "hungry" "search feeding tree" 
 3221 30 31 781885.35 7407909.36 91 "hungry" "on feeding tree" 
 3222 30 32 781885.35 7407909.36 95 "hungry" "on feeding tree" 
 3223 30 33 781885.35 7407909.36 99 "hungry" "on feeding tree" 
 3224 30 34 781885.62 7407929.16 97.4 "hungry" "search feeding tree" 
 3225 30 35 781885.62 7407929.16 95.8 "hungry" "on feeding tree" 
 3226 30 36 781903.09 7407919.85 94.2 "hungry" "search feeding tree" 
 3227 30 37 781903.09 7407919.85 92.6 "hungry" "on feeding tree" 
 3228 30 38 781903.09 7407919.85 96.6 "hungry" "on feeding tree" 
 3229 30 39 781903.09 7407919.85 100.6 "hungry" "on feeding tree" 
 3230 30 40 781915.43 7407904.36 99 "hungry" "search feeding tree" 
 3231 30 41 781915.43 7407904.36 97.4 "hungry" "on feeding tree" 
 3232 30 42 781915.43 7407904.36 101.4 "hungry" "on feeding tree" 
 3233 30 43 781933.06 7407913.38 99.8 "hungry" "search feeding tree" 
 3234 30 44 781933.06 7407913.38 98.2 "hungry" "on feeding tree" 
 3235 30 45 781933.06 7407913.38 102.2 "hungry" "on feeding tree" 
 3236 30 46 781933.06 7407913.38 106.2 "hungry" "on feeding tree" 
 3237 30 47 781921.98 7407929.78 104.6 "hungry" "search feeding tree" 
 3238 30 48 781921.98 7407929.78 103 "hungry" "on feeding tree" 
 3239 30 49 781921.98 7407929.78 107 "hungry" "on feeding tree" 
 3240 30 50 781902.52 7407933.46 105.4 "hungry" "search feeding tree" 
 3241 30 51 781902.52 7407933.46 103.8 "hungry" "on feeding tree" 
 3242 30 52 781902.52 7407933.46 107.8 "hungry" "on feeding tree" 
 3243 30 53 781899.38 7407913.9 106.2 "hungry" "search feeding tree" 
 3244 30 54 781899.38 7407913.9 104.6 "hungry" "on feeding tree" 
 3245 30 55 781899.38 7407913.9 108.6 "hungry" "on feeding tree" 
 3246 30 56 781880.26 7407919.04 107 "hungry" "search feeding tree" 
 3247 30 57 781880.26 7407919.04 105.4 "hungry" "on feeding tree" 
 3248 30 58 781880.26 7407919.04 109.4 "hungry" "on feeding tree" 
 3249 30 59 781880.26 7407919.04 113.4 "hungry" "on feeding tree" 
 3250 30 60 781880.26 7407919.04 117.4 "hungry" "on feeding tree" 
 3251 30 61 781860.52 7407917.45 115.8 "hungry" "search feeding tree" 
 3252 30 62 781860.52 7407917.45 114.2 "hungry" "on feeding tree" 
 3253 30 63 781860.52 7407917.45 118.2 "hungry" "on feeding tree" 
 3254 30 64 781873.02 7407932.81 116.6 "hungry" "search feeding tree" 
 3255 30 65 781873.02 7407932.81 115 "hungry" "on feeding tree" 
 3256 30 66 781855.52 7407942.09 113.4 "hungry" "search feeding tree" 
 3257 30 67 781855.52 7407942.09 111.8 "hungry" "on feeding tree" 
 3258 30 68 781855.52 7407942.09 115.8 "hungry" "on feeding tree" 
 3259 30 69 781855.52 7407942.09 119.8 "hungry" "on feeding tree" 
 3260 30 70 781855.52 7407942.09 123.8 "hungry" "on feeding tree" 
 3261 30 71 781855.52 7407942.09 127.8 "hungry" "on feeding tree" 
 3262 30 72 781836.5 7407947.6 126.2 "hungry" "search feeding tree" 
 3263 30 73 781836.5 7407947.6 124.6 "hungry" "on feeding tree" 
 3264 30 74 781836.5 7407947.6 128.6 "hungry" "on feeding tree" 
 3265 30 75 781853.25 7407958.16 127 "hungry" "search feeding tree" 
 3266 30 76 781853.25 7407958.16 125.4 "hungry" "on feeding tree" 
 3267 30 77 781853.25 7407958.16 129.4 "hungry" "on feeding tree" 
 3268 30 78 781870.01 7407947.62 127.8 "hungry" "search feeding tree" 
 3269 30 79 781870.01 7407947.62 126.2 "hungry" "on feeding tree" 
 3270 30 80 781870.01 7407947.62 130.2 "hungry" "on feeding tree" 
 3271 30 81 781851.82 7407939.81 128.6 "hungry" "search feeding tree" 
 3272 30 82 781851.82 7407939.81 127 "hungry" "on feeding tree" 
 3273 30 83 781868.84 7407949.91 125.4 "hungry" "search feeding tree" 
 3274 30 84 781868.84 7407949.91 123.8 "hungry" "on feeding tree" 
 3275 30 85 781865.25 7407930.44 122.2 "hungry" "search feeding tree" 
 3276 30 86 781865.25 7407930.44 120.6 "hungry" "on feeding tree" 
 3277 30 87 781865.25 7407930.44 124.6 "hungry" "on feeding tree" 
 3278 30 88 781865.25 7407930.44 128.6 "hungry" "on feeding tree" 
 3279 30 89 781865.25 7407930.44 132.6 "hungry" "on feeding tree" 
 3280 30 90 781865.25 7407930.44 136.6 "hungry" "on feeding tree" 
 3281 30 91 781870.79 7407949.45 135 "hungry" "search feeding tree" 
 3282 30 92 781870.79 7407949.45 133.4 "hungry" "on feeding tree" 
 3283 30 93 781870.79 7407949.45 137.4 "hungry" "on feeding tree" 
 3284 30 94 781870.79 7407949.45 141.4 "hungry" "on feeding tree" 
 3285 30 95 781851.27 7407946.16 139.8 "hungry" "search feeding tree" 
 3286 30 96 781851.27 7407946.16 138.2 "hungry" "on feeding tree" 
 3287 30 97 781851.27 7407946.16 142.2 "hungry" "on feeding tree" 
 3288 30 98 781851.27 7407946.16 146.2 "hungry" "on feeding tree" 
