ticks day timestep x y energy status action
 2549 24 19 781870.54 7408147.67 90 "hungry" "search feeding tree" 
 2550 24 20 781870.54 7408147.67 88.4 "hungry" "on feeding tree" 
 2551 24 21 781870.54 7408147.67 95.4 "hungry" "on feeding tree" 
 2552 24 22 781870.54 7408147.67 102.4 "hungry" "on feeding tree" 
 2553 24 23 781852.09 7408140.48 100.8 "hungry" "search feeding tree" 
 2554 24 24 781852.09 7408140.48 99.2 "hungry" "on feeding tree" 
 2555 24 25 781852.09 7408140.48 105.2 "hungry" "on feeding tree" 
 2556 24 26 781833.64 7408133.29 103.6 "hungry" "search feeding tree" 
 2557 24 27 781833.64 7408133.29 102 "hungry" "on feeding tree" 
 2558 24 28 781833.64 7408133.29 108 "hungry" "on feeding tree" 
 2559 24 29 781833.64 7408133.29 114 "hungry" "on feeding tree" 
 2560 24 30 781821.96 7408117.3 112.4 "hungry" "search feeding tree" 
 2561 24 31 781821.96 7408117.3 110.8 "hungry" "on feeding tree" 
 2562 24 32 781821.96 7408117.3 115.8 "hungry" "on feeding tree" 
 2563 24 33 781821.96 7408117.3 120.8 "hungry" "on feeding tree" 
 2564 24 34 781821.96 7408117.3 125.8 "hungry" "on feeding tree" 
 2565 24 35 781821.96 7408117.3 130.8 "hungry" "on feeding tree" 
 2566 24 36 781810.28 7408101.31 129.2 "hungry" "search feeding tree" 
 2567 24 37 781810.28 7408101.31 127.6 "hungry" "on feeding tree" 
 2568 24 38 781810.28 7408101.31 132.6 "hungry" "on feeding tree" 
 2569 24 39 781821.96 7408117.3 131 "hungry" "search feeding tree" 
 2570 24 40 781821.96 7408117.3 129.4 "hungry" "on feeding tree" 
 2571 24 41 781810.28 7408101.31 127.8 "hungry" "search feeding tree" 
 2572 24 42 781810.28 7408101.31 126.2 "hungry" "on feeding tree" 
 2573 24 43 781810.28 7408101.31 131.2 "hungry" "on feeding tree" 
 2574 24 44 781821.96 7408117.3 129.6 "hungry" "search feeding tree" 
 2575 24 45 781821.96 7408117.3 128 "hungry" "on feeding tree" 
 2576 24 46 781836.71 7408130.51 126.4 "hungry" "search feeding tree" 
 2577 24 47 781836.71 7408130.51 124.8 "hungry" "on feeding tree" 
 2578 24 48 781836.71 7408130.51 130.8 "hungry" "on feeding tree" 
 2579 24 49 781836.71 7408130.51 136.8 "hungry" "on feeding tree" 
 2580 24 50 781851.46 7408143.73 135.2 "hungry" "search feeding tree" 
 2581 24 51 781851.46 7408143.73 133.6 "hungry" "on feeding tree" 
 2582 24 52 781851.46 7408143.73 139.6 "hungry" "on feeding tree" 
 2583 24 53 781870.76 7408148.12 138 "hungry" "search feeding tree" 
 2584 24 54 781870.76 7408148.12 136.4 "hungry" "on feeding tree" 
 2585 24 55 781870.76 7408148.12 143.4 "hungry" "on feeding tree" 
 2586 24 56 781870.76 7408148.12 150.4 "hungry" "on feeding tree" 
 2587 24 57 781874.07 7408148.88 148.8 "resting" "to resting tree" 
 2588 24 58 781874.07 7408148.88 147.2 "resting" "on resting tree" 
 2589 24 59 781874.07 7408148.88 146.2 "resting" "on resting tree" 
