x y species id-tree
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
 781741.25 7407886.48 "liana" "liana" 
 781851.89 7407954.3 "liana" "liana" 
 781865.71 7407548.82 "liana" "liana" 
 781684.93 7408203.77 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781889.69 7407551.24 "liana" "liana" 
 781648.14 7407820.33 "liana" "liana" 
 781924.09 7407921.67 "liana" "liana" 
 781868.17 7408083.22 "liana" "liana" 
 782134.67 7407605.08 "liana" "liana" 
 781987.28 7407573.1 "liana" "liana" 
 782073.85 7407932.87 "liana" "liana" 
 781773.13 7408007.9 "liana" "liana" 
 781724.3 7407588.55 "liana" "liana" 
 781879.22 7408115.59 "liana" "liana" 
 782024.12 7407526.28 "liana" "liana" 
 781766.13 7408080.3 "liana" "liana" 
 781885.33 7408012.4 "liana" "liana" 
 781754.56 7407481.87 "sleeptree" 1194 
 781778.85 7407480.75 "sleeptree" 1226 
 781737.2 7407627.57 "sleeptree" 1261 
 781737.62 7407706.97 "sleeptree" 1297 
 781980.27 7407879.79 "sleeptree" 1338 
 782062.24 7407906.65 "sleeptree" 1375 
 781883.52 7407946.32 "sleeptree" 1412 
 781877.96 7407991.11 "sleeptree" 1459 
 781894.56 7408116.66 "sleeptree" 1507 
 782020.32 7408126.22 "sleeptree" 1546 
 781738.87 7408086.5 "sleeptree" 1572 
 781698.18 7408282.72 "sleeptree" 1605 
 781750.44 7408177.24 "sleeptree" 1639 
 781583.55 7408300.48 "sleeptree" 1672 
 781641.46 7408170.9 "sleeptree" 1702 
 781442.74 7408003.76 "sleeptree" 1729 
 781655.53 7408023.68 "sleeptree" 1756 
 781291.29 7408199.02 "sleeptree" 1785 
 781666.48 7408187.52 "sleeptree" 1810 
 781530.43 7407971.58 "sleeptree" 1852 
 781735.54 7408041.44 "sleeptree" 1880 
 781985.28 7408095.19 "sleeptree" 1905 
 781977.99 7408195.76 "sleeptree" 1937 
 781846.68 7408017.63 "sleeptree" 1969 
 
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
 781741.25 7407886.48 "liana" "liana" 
 781851.89 7407954.3 "liana" "liana" 
 781865.71 7407548.82 "liana" "liana" 
 781684.93 7408203.77 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781889.69 7407551.24 "liana" "liana" 
 781648.14 7407820.33 "liana" "liana" 
 781924.09 7407921.67 "liana" "liana" 
 781868.17 7408083.22 "liana" "liana" 
 782134.67 7407605.08 "liana" "liana" 
 781987.28 7407573.1 "liana" "liana" 
 782073.85 7407932.87 "liana" "liana" 
 781773.13 7408007.9 "liana" "liana" 
 781724.3 7407588.55 "liana" "liana" 
 781879.22 7408115.59 "liana" "liana" 
 782024.12 7407526.28 "liana" "liana" 
 781766.13 7408080.3 "liana" "liana" 
 781885.33 7408012.4 "liana" "liana" 
 781796.5 7407446.49 "sleeptree" 1191 
 781767.49 7407531.06 "sleeptree" 1238 
 781675.59 7407415.98 "sleeptree" 1284 
 781743.23 7407513.9 "sleeptree" 1321 
 
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
 781741.25 7407886.48 "liana" "liana" 
 781851.89 7407954.3 "liana" "liana" 
 781865.71 7407548.82 "liana" "liana" 
 781684.93 7408203.77 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781889.69 7407551.24 "liana" "liana" 
 781648.14 7407820.33 "liana" "liana" 
 781924.09 7407921.67 "liana" "liana" 
 781868.17 7408083.22 "liana" "liana" 
 782134.67 7407605.08 "liana" "liana" 
 781987.28 7407573.1 "liana" "liana" 
 782073.85 7407932.87 "liana" "liana" 
 781773.13 7408007.9 "liana" "liana" 
 781724.3 7407588.55 "liana" "liana" 
 781879.22 7408115.59 "liana" "liana" 
 782024.12 7407526.28 "liana" "liana" 
 781766.13 7408080.3 "liana" "liana" 
 781885.33 7408012.4 "liana" "liana" 
 781754.56 7407481.87 "sleeptree" 1194 
 781778.85 7407480.75 "sleeptree" 1226 
 781737.2 7407627.57 "sleeptree" 1261 
 781737.62 7407706.97 "sleeptree" 1297 
 781980.27 7407879.79 "sleeptree" 1338 
 782062.24 7407906.65 "sleeptree" 1375 
 781883.52 7407946.32 "sleeptree" 1412 
 781877.96 7407991.11 "sleeptree" 1459 
 781894.56 7408116.66 "sleeptree" 1507 
 782020.32 7408126.22 "sleeptree" 1546 
 781738.87 7408086.5 "sleeptree" 1572 
 781698.18 7408282.72 "sleeptree" 1605 
 781750.44 7408177.24 "sleeptree" 1639 
 781583.55 7408300.48 "sleeptree" 1672 
 781641.46 7408170.9 "sleeptree" 1702 
 781442.74 7408003.76 "sleeptree" 1729 
 781655.53 7408023.68 "sleeptree" 1756 
 781291.29 7408199.02 "sleeptree" 1785 
 781666.48 7408187.52 "sleeptree" 1810 
 781530.43 7407971.58 "sleeptree" 1852 
 781735.54 7408041.44 "sleeptree" 1880 
 781985.28 7408095.19 "sleeptree" 1905 
 781977.99 7408195.76 "sleeptree" 1937 
 781846.68 7408017.63 "sleeptree" 1969 
 781824.25 7407878.26 "sleeptree" 1996 
 
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
 781741.25 7407886.48 "liana" "liana" 
 781851.89 7407954.3 "liana" "liana" 
 781865.71 7407548.82 "liana" "liana" 
 781684.93 7408203.77 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781889.69 7407551.24 "liana" "liana" 
 781648.14 7407820.33 "liana" "liana" 
 781924.09 7407921.67 "liana" "liana" 
 781868.17 7408083.22 "liana" "liana" 
 782134.67 7407605.08 "liana" "liana" 
 781987.28 7407573.1 "liana" "liana" 
 782073.85 7407932.87 "liana" "liana" 
 781773.13 7408007.9 "liana" "liana" 
 781724.3 7407588.55 "liana" "liana" 
 781879.22 7408115.59 "liana" "liana" 
 782024.12 7407526.28 "liana" "liana" 
 781766.13 7408080.3 "liana" "liana" 
 781885.33 7408012.4 "liana" "liana" 
 781754.56 7407481.87 "sleeptree" 1194 
 781778.85 7407480.75 "sleeptree" 1226 
 781737.2 7407627.57 "sleeptree" 1261 
 781737.62 7407706.97 "sleeptree" 1297 
 781980.27 7407879.79 "sleeptree" 1338 
 782062.24 7407906.65 "sleeptree" 1375 
 781883.52 7407946.32 "sleeptree" 1412 
 781877.96 7407991.11 "sleeptree" 1459 
 781894.56 7408116.66 "sleeptree" 1507 
 782020.32 7408126.22 "sleeptree" 1546 
 781738.87 7408086.5 "sleeptree" 1572 
 781698.18 7408282.72 "sleeptree" 1605 
 781750.44 7408177.24 "sleeptree" 1639 
 781583.55 7408300.48 "sleeptree" 1672 
 781641.46 7408170.9 "sleeptree" 1702 
 781442.74 7408003.76 "sleeptree" 1729 
 781655.53 7408023.68 "sleeptree" 1756 
 781291.29 7408199.02 "sleeptree" 1785 
 781666.48 7408187.52 "sleeptree" 1810 
 781530.43 7407971.58 "sleeptree" 1852 
 781735.54 7408041.44 "sleeptree" 1880 
 781985.28 7408095.19 "sleeptree" 1905 
 781977.99 7408195.76 "sleeptree" 1937 
 781846.68 7408017.63 "sleeptree" 1969 
 781824.25 7407878.26 "sleeptree" 1996 
 781691.16 7407737.96 "sleeptree" 2026 
 
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
