 x y species id-tree
 781682.2 7408107.44 "" "" 
 781756.68 7408049.26 "" "" 
 781755.47 7408054.56 "" "" 
 781631 7408126 "" "" 
 781629 7408131 "" "" 
 781633 7408123 "" "" 
 781634 7408129 "" "" 
 781628 7408131 "" "" 
 781635 7408173 "" "" 
 782336 7407594 "" "" 
 781666.49 7408160.53 "rest" 109 
 781730.5 7408154.19 "rest" 111 
 781703.82 7408194.2 "rest" 115 
 781652.04 7408188.95 "rest" 117 
 781706.31 7408104.49 "rest" 119 
 781710.32 7408032.75 "rest" 122 
 781783.4 7407991.93 "rest" 123 
 781725.27 7407941.56 "rest" 124 
 781879.13 7408008.32 "rest" 128 
 781895.21 7408096.31 "rest" 130 
 781918.76 7408101.92 "rest" 132 
 781961.73 7408100.54 "rest" 133 
 781977.36 7408019.43 "rest" 134 
 781768.8 7408046.73 "rest" 138 
 781766.88 7408043.93 "rest" 140 
 781764.61 7408035.75 "rest" 142 
 781762.34 7408027.58 "rest" 143 
 781697.12 7407944.22 "rest" 145 
 781666.08 7408007.09 "rest" 147 
 781620.07 7408031.43 "rest" 148 
 781569.11 7408082.36 "rest" 150 
 782008.02 7407972 "rest" 156 
 781942.2 7408016.94 "rest" 158 
 781973.52 7407980.44 "rest" 159 
 781916.3 7407953.21 "rest" 161 
 781859.62 7407949.53 "rest" 164 
 781914.19 7407861.9 "rest" 166 
 781957.81 7407817.95 "rest" 168 
 782016.74 7407683.78 "rest" 169 
 781996.37 7407620.56 "rest" 172 
 781960.99 7407653.65 "rest" 174 
 781940.5 7407610.11 "rest" 176 
 781892.36 7407651.17 "rest" 178 
 781911.45 7407725.65 "rest" 180 
 781877.87 7407656.12 "rest" 182 
 781908.85 7407666.95 "rest" 183 
 781881.76 7407899.27 "rest" 187 
 781854.12 7407980.62 "rest" 190 
 781879.96 7407935.43 "rest" 191 
 781884.17 7407928.07 "rest" 192 
 781780.58 7407862.33 "rest" 194 
 781845.98 7407834.9 "rest" 197 
 781850.82 7407802.36 "rest" 198 
 781759.59 7407754.62 "rest" 200 
 781687.1 7407716.63 "rest" 204 
 781713.44 7407743.58 "rest" 205 
 781702.87 7407847.38 "rest" 208 
 781662.98 7407820.52 "rest" 210 
 781634.49 7407973.04 "rest" 211 
 781662.15 7408138.92 "rest" 214 
 781701.62 7408121.17 "rest" 215 
 781694.68 7408184.15 "rest" 218 
 781664.97 7408153.07 "rest" 219 
 781723.86 7408210.99 "rest" 221 
 781924.45 7408155.99 "rest" 225 
 782032.87 7408029.1 "rest" 227 
 782127.38 7407899.99 "rest" 228 
 781866.64 7407906.4 "rest" 231 
 781793.89 7407893.91 "rest" 234 
 781888.8 7407964.31 "rest" 237 
 781878.85 7407896.93 "rest" 239 
 781780.79 7407738.05 "rest" 240 
 781733.71 7407728.27 "rest" 241 
 781908.85 7407582.92 "rest" 244 
 781939.34 7407512.09 "rest" 247 
 781986.38 7407510.65 "rest" 249 
 781974.66 7407497.84 "rest" 251 
 782009.61 7407550.69 "rest" 253 
 
