 x y species id-tree
 781905.35 7407658.24 "hollow" "hollow" 
 781969.8 7407899.62 "liana" "liana" 
 782228.27 7407430.04 "hollow" "hollow" 
 781741.25 7407886.48 "liana" "liana" 
 781851.89 7407954.3 "liana" "liana" 
 781865.71 7407548.82 "liana" "liana" 
 781684.93 7408203.77 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781654.26 7408124.23 "liana" "liana" 
 781889.69 7407551.24 "liana" "liana" 
 781648.14 7407820.33 "liana" "liana" 
 781924.09 7407921.67 "liana" "liana" 
 781868.17 7408083.22 "liana" "liana" 
 782134.67 7407605.08 "liana" "liana" 
 781987.28 7407573.1 "liana" "liana" 
 782073.85 7407932.87 "liana" "liana" 
 781773.13 7408007.9 "liana" "liana" 
 781724.3 7407588.55 "liana" "liana" 
 781879.22 7408115.59 "liana" "liana" 
 782024.12 7407526.28 "liana" "liana" 
 781766.13 7408080.3 "liana" "liana" 
 781885.33 7408012.4 "liana" "liana" 
 781724.94 7408141.87 "sleeptree" 1185 
 781554.38 7408183.53 "sleeptree" 1207 
 781710.16 7408263.39 "sleeptree" 1228 
 781659.21 7408341.38 "sleeptree" 1255 
 781778.46 7408155.76 "sleeptree" 1274 
 781870.85 7408094.27 "sleeptree" 1296 
 781721.45 7408131.52 "sleeptree" 1317 
 781544.92 7408043.35 "sleeptree" 1334 
 781428.49 7408087.97 "sleeptree" 1351 
 781727.42 7408043.14 "sleeptree" 1372 
 
