"","value"
"start-energy",980
"simulation-time",110
"energy-from-fruits",192
"no_days",10
"energy-from-prey",246
"energy-loss-traveling",-53
"energy-loss-foraging",-31
"energy-loss-resting",-65
"step_forget",265
"gut_transit_time",16
"energy_level_1",1584
"energy_level_2",1897
"n_seeds_hatched",1
"duration",4
"visual",0
"p_foraging_while_traveling",0.61
"prop_trees_to_reset_memory",2
"max_rel_ang_forage_75q",74
"step_len_forage",1.3
"step_len_travel",2.4
"max_rel_ang_travel_75q",67
"species_time_val",3
"n_disputed_trees",5
"monkey_runs",5
